County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Ringgold,511,1903,479,11,2904,83,139,154,2,378,3282
Sac,1100,3409,1644,20,6173,146,295,598,7,1046,7219
Scott,35286,30666,35070,913,101935,8276,4849,14529,371,28025,129960
Shelby,1652,3780,2091,32,7555,208,347,477,18,1050,8605
Sioux,1879,15214,3424,76,20593,307,1238,862,26,2433,23026
Story,20696,15371,17967,654,54688,4612,3312,6741,300,14965,69653
Tama,2843,3471,3415,76,9805,391,301,1061,9,1762,11567
Taylor,584,1984,905,28,3501,94,175,292,8,569,4070
Union,1480,3218,2152,42,6892,249,256,890,14,1409,8301
Van Buren,750,2304,1102,29,4185,133,229,402,7,771,4956
Wapello,6316,5677,5234,117,17344,1393,757,1999,44,4193,21537
Warren,10162,12798,10076,260,33296,1114,1163,2232,78,4587,37883
Washington,3249,5601,4159,97,13106,419,605,1217,42,2283,15389
Wayne,758,1593,969,18,3338,110,155,226,4,495,3833
Webster,6477,7263,6300,157,20197,1338,982,2657,62,5039,25236
Winnebago,1581,2834,2209,41,6665,246,272,752,12,1282,7947
Winneshiek,4289,4487,4122,53,12951,710,357,1001,26,2094,15045
Woodbury,15751,20589,13807,408,50555,3851,2850,6119,135,12955,63510
Worth,1265,1935,1639,23,4862,151,153,426,3,733,5595
Wright,1601,3295,1953,31,6880,273,322,584,14,1193,8073
Totals,"611,972","662,351","555,757","14,809","1,844,889","102,122","75,739","173,592","4,944","356,397","2,201,286"
