County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Davis,"1,823","1,508","1,420",3,"4,754",115,64,164,1,344,"5,098"
Decatur,"1,402","1,556","1,483",8,"4,449",58,40,63,0,161,"4,610"
Delaware,"2,482","3,790","4,985",4,"11,261",82,98,180,0,360,"11,621"
Des Moines,"10,927","5,967","8,655",52,"25,601",724,414,872,5,"2,015","27,616"
Dickinson,"2,352","5,068","4,474",25,"11,919",130,214,289,3,636,"12,555"
Dubuque,"24,863","15,025","22,656",185,"62,729","1,411",854,"1,720",19,"4,004","66,733"
Emmet,"1,902","1,622","2,814",8,"6,346",219,151,487,1,858,"7,204"
Fayette,"3,516","3,919","4,209",34,"11,678",195,127,285,3,610,"12,288"
Floyd,"3,072","2,581","4,738",10,"10,401",155,104,290,3,552,"10,953"
Franklin,"1,249","3,054","2,296",7,"6,606",51,67,155,1,274,"6,880"
Fremont,"1,127","1,978","1,635",5,"4,745",138,212,309,1,660,"5,405"
Greene,"1,791","2,091","2,298",9,"6,189",105,129,231,1,466,"6,655"
Grundy,"1,400","3,973","2,996",15,"8,384",59,136,214,3,412,"8,796"
Guthrie,"1,739","2,663","2,822",25,"7,249",109,138,293,1,541,"7,790"
Hamilton,"2,501","3,474","3,777",18,"9,770",123,165,271,1,560,"10,330"
Hancock,"1,457","3,216","2,788",7,"7,468",123,126,263,0,512,"7,980"
Hardin,"2,510","4,565","3,926",15,"11,016",225,213,367,1,806,"11,822"
Harrison,"2,091","3,562","2,295",32,"7,980",40,50,60,1,151,"8,131"
Henry,"2,691","5,044","4,804",23,"12,562",364,332,669,2,"1,367","13,929"
Howard,"1,756","1,405","2,592",4,"5,757",111,71,264,0,446,"6,203"
Humboldt,"1,262","2,603","2,379",4,"6,248",81,83,190,0,354,"6,602"
Ida,836,"2,161","1,774",10,"4,781",57,104,190,0,351,"5,132"
Iowa,"2,597","3,804","4,892",23,"11,316",166,190,353,2,711,"12,027"
Jackson,"5,285","2,792","5,618",18,"13,713",284,152,472,4,912,"14,625"
Jasper,"8,119","7,110","8,343",38,"23,610",504,400,887,3,"1,794","25,404"
Jefferson,"3,369","3,385","3,352",74,"10,180",235,163,370,7,775,"10,955"
Johnson,"38,113","17,924","31,905",577,"88,519","4,956","2,367","5,435",86,"12,844","101,363"
Jones,"3,255","3,669","5,849",17,"12,790",136,112,348,0,596,"13,386"
Keokuk,"2,026","2,255","2,305",5,"6,591",137,80,240,2,459,"7,050"
Kossuth,"3,251","3,359","4,269",11,"10,890",98,96,272,1,467,"11,357"
Lee,"9,472","4,035","8,101",48,"21,656",671,299,936,2,"1,908","23,564"
Linn,"46,189","36,493","49,683",617,"132,982","5,238","2,861","6,342",77,"14,518","147,500"
Louisa,"1,651","2,351","2,478",10,"6,490",197,143,374,1,715,"7,205"
Lucas,"1,318","2,195","1,970",7,"5,490",69,87,184,0,340,"5,830"
Lyon,846,"5,375","1,672",4,"7,897",83,179,150,0,412,"8,309"
Madison,"2,713","3,929","3,748",20,"10,410",163,219,323,1,706,"11,116"
Mahaska,"2,905","5,882","4,875",43,"13,705",244,220,411,3,878,"14,583"
Marion,"5,143","9,035","7,599",39,"21,816",385,519,660,5,"1,569","23,385"
Marshall,"6,997","7,370","9,063",32,"23,462",600,510,979,2,"2,091","25,553"
Mills,"1,882","4,764","3,028",23,"9,697",168,290,365,4,827,"10,524"
Mitchell,"1,723","2,418","2,719",10,"6,870",110,105,171,1,387,"7,257"
Monona,"1,925","1,846","2,360",6,"6,137",110,125,210,0,445,"6,582"
Monroe,"1,634","1,508","1,541",7,"4,690",83,62,120,2,267,"4,957"
Montgomery,989,"3,674","2,076",6,"6,745",85,204,247,0,536,"7,281"
Muscatine,"7,534","7,925","10,475",49,"25,983",569,581,"1,039",1,"2,190","28,173"
O'Brien,"1,273","5,281","2,657",13,"9,224",97,222,263,1,583,"9,807"
Osceola,490,"2,506","1,088",4,"4,088",34,105,116,0,255,"4,343"
Page,"1,453","4,151","3,196",11,"8,811",223,307,673,5,"1,208","10,019"
Palo Alto,"2,219","1,593","2,144",9,"5,965",123,92,236,0,451,"6,416"
Plymouth,"3,072","7,660","5,442",30,"16,204",289,448,593,3,"1,333","17,537"
Pocahontas,"1,060","1,661","2,200",16,"4,937",39,73,151,0,263,"5,200"
Polk,"101,851","81,466","83,986","1,295","268,598","5,375","4,004","5,952",78,"15,409","284,007"
Pottawattamie,"15,543","20,770","19,542",207,"56,062","1,243",989,"1,625",16,"3,873","59,935"
Poweshiek,"3,692","3,657","5,237",45,"12,631",409,117,377,2,905,"13,536"
Ringgold,842,"1,460",743,2,"3,047",42,47,62,0,151,"3,198"
Sac,"1,293","3,080","2,542",5,"6,920",70,106,168,0,344,"7,264"
Scott,"34,616","30,334","45,427",446,"110,823","3,060","2,167","4,677",27,"9,931","120,754"
Shelby,"1,761","3,546","2,601",8,"7,916",223,193,460,1,877,"8,793"
Sioux,"1,638","14,439","3,961",24,"20,062",97,462,337,2,898,"20,960"
Story,"15,630","15,887","21,947",350,"53,814","2,170","1,580","3,347",53,"7,150","60,964"
Tama,"3,164","3,265","4,620",16,"11,065",135,123,331,1,590,"11,655"
Taylor,705,"1,820","1,223",7,"3,755",83,116,231,0,430,"4,185"
Union,"1,652","2,710","3,123",11,"7,496",84,103,204,0,391,"7,887"
Van Buren,986,"2,116","1,530",14,"4,646",68,117,187,0,372,"5,018"
Wapello,"8,770","5,017","6,996",41,"20,824",620,331,726,3,"1,680","22,504"
Warren,"9,340","10,775","10,971",63,"31,149",609,589,"1,004",5,"2,207","33,356"
Washington,"2,904","5,603","5,195",46,"13,748",148,198,382,4,732,"14,480"
Wayne,951,"1,347","1,154",3,"3,455",58,79,82,0,219,"3,674"
Webster,"8,286","6,398","8,395",50,"23,129",678,456,"1,053",4,"2,191","25,320"
Winnebago,"1,507","2,873","2,794",7,"7,181",118,120,226,0,464,"7,645"
Winneshiek,"3,530","4,321","5,324",24,"13,199",181,110,279,0,570,"13,769"
Woodbury,"18,026","18,763","18,857",141,"55,787","1,606","1,243","2,060",21,"4,930","60,717"
Worth,"1,451","1,703","2,055",3,"5,212",116,86,243,2,447,"5,659"
Wright,"1,846","3,426","2,642",11,"7,925",142,197,271,1,611,"8,536"
Totals,"593,886","614,653","708,275","6,028","1,922,842","45,642","35,080","68,873",554,"150,149","2,072,991"
