county,year_month,year,month,pop_est,adult_pop,democratic_active,republican_active,no_party_active,other_active,total_active,democratic_inactive,republican_inactive,no_party_inactive,other_inactive,total_inactive,grand_total,file_path,libertarian_active,libertarian_inactive,dem_active_pct,rep_active_pct,no_party_active_pct,lib_active_pct,two_party_active_pct,active_pct,inactive_pct,reg_pct,dem_reg_pct,rep_reg_pct,two_party_reg_pct
Hancock,2014-05,2014,5,11043,8535,1504,3150,2826,2,7482,127,145,266,1,539,8021,Voter Registration/data_csv/2014-05.csv,NA,NA,0.18750779204587956,0.3927191123301334,0.35232514649046254,NA,0.580226904376013,0.9328013963346217,0.06719860366537839,0.9397773872290568,0.19109548916227298,0.38605741066198007,0.577152899824253
Hardin,2014-05,2014,5,17338,13649,2551,4381,3972,15,10919,324,287,597,1,1209,12128,Voter Registration/data_csv/2014-05.csv,NA,NA,0.210339709762533,0.3612302110817942,0.3275065963060686,NA,0.5715699208443272,0.9003133245382586,0.09968667546174143,0.8885632647080373,0.21063814198842407,0.342003077148509,0.5526412191369331
Harrison,2014-05,2014,5,14268,11010,2211,3333,2265,20,7829,35,34,39,0,108,7937,Voter Registration/data_csv/2014-05.csv,NA,NA,0.2785687287388182,0.4199319642182185,0.28537230691697113,NA,0.6985006929570368,0.9863928436436941,0.013607156356305909,0.7208900999091735,0.20399636693914622,0.3058128973660309,0.5098092643051771
Henry,2014-05,2014,5,19846,15362,2805,5110,4853,13,12781,342,300,618,1,1261,14042,Voter Registration/data_csv/2014-05.csv,NA,NA,0.19975786924939468,0.36390827517447655,0.3456060390257798,NA,0.5636661444238712,0.9101979774960832,0.08980202250391682,0.9140736883218331,0.20485613852362974,0.35216768649915375,0.5570238250227835
Howard,2014-05,2014,5,9357,7010,1805,1409,2518,3,5735,118,73,270,0,461,6196,Voter Registration/data_csv/2014-05.csv,NA,NA,0.29131697869593287,0.22740477727566172,0.4063912201420271,NA,0.5187217559715946,0.9255971594577147,0.07440284054228534,0.8838801711840228,0.2743223965763195,0.21141226818830242,0.4857346647646219
Humboldt,2014-05,2014,5,9641,7429,1326,2422,2535,2,6285,125,142,344,1,612,6897,Voter Registration/data_csv/2014-05.csv,NA,NA,0.19225750326228794,0.3511671741336813,0.36755110917790346,NA,0.5434246773959692,0.9112657677250978,0.08873423227490213,0.928388746803069,0.19531565486606542,0.34513393458069724,0.5404495894467627
Ida,2014-05,2014,5,6971,5310,886,2035,1872,7,4800,61,127,210,0,398,5198,Voter Registration/data_csv/2014-05.csv,NA,NA,0.17045017314351674,0.3914967295113505,0.36013851481338977,NA,0.5619469026548672,0.923432089265102,0.07656791073489803,0.9789077212806027,0.17834274952919021,0.4071563088512241,0.5854990583804143
Iowa,2014-05,2014,5,16325,12495,2676,3643,4843,7,11169,190,213,441,1,845,12014,Voter Registration/data_csv/2014-05.csv,NA,NA,0.22274013650740804,0.3032295655069086,0.4031130347927418,NA,0.5259697020143166,0.9296653903778924,0.07033460962210754,0.9615046018407363,0.2293717486994798,0.3086034413765506,0.5379751900760303
Jackson,2014-05,2014,5,19430,15071,5478,2584,5560,15,13637,398,185,679,2,1264,14901,Voter Registration/data_csv/2014-05.csv,NA,NA,0.36762633380310045,0.17341118045768741,0.3731293201798537,NA,0.5410375142607878,0.9151734782900477,0.08482652170995235,0.988720058390286,0.3898878641098799,0.18373034304293012,0.57361820715281
Jasper,2014-05,2014,5,36891,28541,8523,7010,8239,30,23802,812,622,1270,4,2708,26510,Voter Registration/data_csv/2014-05.csv,NA,NA,0.32150132025650696,0.26442851754055074,0.3107883817427386,NA,0.5859298377970577,0.8978498679743493,0.1021501320256507,0.9288392137626572,0.32707333309975123,0.26740478609719354,0.5944781191969448
