State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 033,4772,1997,80,2559,25,9433,3697,958,85,3159,39,7938,17371
State Representative District 034,5734,1438,77,2368,25,9642,4161,1011,102,3068,47,8389,18031
State Representative District 035,8557,3351,119,3763,35,15825,2453,1043,79,2400,18,5993,21818
State Representative District 036,9417,2891,104,3442,24,15878,3495,1002,95,2646,35,7273,23151
State Representative District 037,3142,9931,76,4778,15,17942,1026,1979,50,2798,11,5864,23806
State Representative District 038,4801,6137,75,4493,11,15517,1726,1466,48,3460,16,6716,22233
State Representative District 039,5252,4331,109,3460,16,13168,2411,1201,71,2949,24,6656,19824
State Representative District 040,5400,5724,119,4860,20,16123,1723,1412,77,2799,24,6035,22158
State Representative District 041,5833,7346,142,6223,22,19566,1441,1599,80,2740,20,5880,25446
State Representative District 042,5450,6441,115,5234,16,17256,1434,1570,84,2497,20,5605,22861
State Representative District 043,6078,6934,110,4982,16,18120,1520,1228,60,2192,15,5015,23135
State Representative District 044,6408,5959,100,4433,31,16931,1857,1276,77,2349,16,5575,22506
State Representative District 045,4698,8306,135,5823,17,18979,1134,1371,73,2348,14,4940,23919
State Representative District 046,4993,7225,102,6222,19,18561,1337,1466,73,2858,11,5745,24306
State Representative District 047,3839,7094,106,4758,19,15816,1398,1593,62,3408,15,6476,22292
State Representative District 048,4974,6699,109,5612,24,17418,1403,1602,78,3596,16,6695,24113
State Representative District 049,4349,2210,83,3212,26,9880,3519,2322,156,4933,48,10978,20858
State Representative District 050,6327,3962,96,4633,27,15045,2746,1257,130,3275,30,7438,22483
State Representative District 051,4428,7583,142,5634,20,17807,1177,1561,79,3122,29,5968,23775
State Representative District 052,3663,4489,69,3295,14,11530,2376,1209,50,3294,22,6951,18481
State Representative District 053,4381,5835,57,5024,21,15318,2470,1260,54,3639,10,7433,22751
State Representative District 054,3309,8906,72,4300,10,16597,1141,1953,47,2841,14,5996,22593
State Representative District 055,3435,7969,65,4351,10,15830,1189,1669,62,2969,19,5908,21738
State Representative District 056,2816,8351,56,4259,8,15490,1065,1825,39,3011,22,5962,21452
State Representative District 057,3882,7628,73,5422,16,17021,1095,1488,43,3032,9,5667,22688
State Representative District 058,3994,6384,49,5640,9,16076,1289,1316,51,3489,18,6163,22239
State Representative District 059,5000,4956,66,5152,18,15192,1891,1214,54,4078,26,7263,22455
State Representative District 060,3905,7612,67,5398,7,16989,1199,1634,57,3379,28,6297,23286
State Representative District 061,5155,4073,77,3704,16,13025,2913,1136,61,2991,23,7124,20149
State Representative District 062,4877,2345,71,2880,17,10190,3768,861,68,3558,45,8300,18490
State Representative District 063,5019,6531,57,5765,13,17385,1377,1082,38,2813,20,5330,22715
State Representative District 064,4047,7708,69,4870,13,16707,1166,1770,46,2948,16,5946,22653
State Representative District 065,5695,7118,70,5148,11,18042,1438,1516,45,2648,16,5663,23705
State Representative District 066,4449,6914,56,5406,8,16833,1110,1324,34,3529,10,6007,22840
State Representative District 067,4063,7107,65,5877,12,17124,994,1211,34,3155,13,5407,22531
State Representative District 068,3911,5986,56,4992,11,14956,1208,1218,46,3154,16,5642,20598
State Representative District 069,4564,4947,69,4901,19,14500,2320,1435,71,4604,27,8457,22957
State Representative District 070,4387,7014,71,5543,18,17033,1411,1421,47,3681,30,6590,23623
State Representative District 071,6013,3899,110,3638,19,13679,2866,1470,104,3688,34,8162,21841
State Representative District 072,6366,5071,75,4184,22,15718,2207,1312,100,2972,27,6618,22336
State Representative District 073,5804,6049,112,5795,18,17778,1531,1361,63,2684,15,5654,23432
State Representative District 074,6021,4464,92,4905,21,15503,2053,1207,107,2998,31,6396,21899
State Representative District 075,5582,4929,90,4587,26,15214,2036,1308,72,3088,20,6524,21738
State Representative District 076,4694,6597,94,5360,18,16763,1603,1416,54,3059,25,6157,22920
State Representative District 077,4997,3207,98,4270,35,12607,2524,1111,87,3264,37,7023,19630
State Representative District 078,6626,2997,120,3743,33,13519,3145,1183,95,3200,46,7669,21188
State Representative District 079,6177,3862,88,4574,27,14728,2291,1075,99,3157,30,6652,21380
State Representative District 080,5900,5762,98,5162,34,16956,1898,1248,87,2903,31,6167,23123
State Representative District 081,4786,4389,90,4739,18,14022,2837,1354,81,4516,28,8816,22838
State Representative District 082,4093,6535,85,5167,17,15897,1433,1352,49,3240,22,6096,21993
State Representative District 083,5693,6995,108,6006,12,18814,1523,1204,64,2888,12,5691,24505
State Representative District 084,4342,7024,87,6284,15,17752,1038,1231,68,3192,14,5543,23295
State Representative District 085,7802,4121,104,5607,12,17646,1998,1090,73,2918,21,6100,23746
State Representative District 086,8209,2574,75,4564,23,15445,3109,947,55,3015,30,7156,22601
State Representative District 087,4326,6407,78,3585,27,14423,1718,1675,60,3302,30,6785,21208
State Representative District 088,2807,7973,85,3468,11,14344,1305,2128,75,3154,12,6674,21018
State Representative District 089,7901,1591,63,3595,41,13191,4016,1102,105,3745,40,9008,22199
State Representative District 090,9940,2095,76,3821,33,15965,3571,1061,60,2910,26,7628,23593
State Representative District 091,5330,7430,108,5960,18,18846,1369,1388,59,3147,17,5980,24826
State Representative District 092,4213,6636,68,4059,17,14993,1351,1590,80,3103,16,6140,21133
State Representative District 093,4948,7474,89,6219,20,18750,1654,1707,72,3499,12,6944,25694
State Representative District 094,4905,6403,77,5729,23,17137,1878,1485,88,3631,23,7105,24242
State Representative District 095,3393,7502,74,4632,8,15609,1658,1805,64,3752,13,7292,22901
State Representative District 096,3643,5239,72,3773,28,12755,2385,1674,90,4155,45,8349,21104
State Representative District 097,5078,3108,92,4006,23,12307,3432,1328,115,4832,28,9735,22042
State Representative District 098,4397,3543,83,4369,21,12413,3209,1440,110,4981,50,9790,22203
State Representative District 099,5289,4686,94,4161,24,14254,2759,1588,83,3948,26,8404,22658
State Representative District 100,4982,4654,76,4115,9,13836,2206,1406,74,3707,25,7418,21254
Totals,"466,773","613,291","8,421","443,784","1,843","1,534,112","190,157","154,970","7,155","321,264","2,360","675,906","2,210,018"
