County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Mahaska,"2,793","5,823","4,882",52,"13,550",289,271,485,2,"1,047","14,597"
Marion,"5,052","9,018","7,732",49,"21,851",401,562,736,6,"1,705","23,556"
Marshall,"6,819","7,234","9,217",39,"23,309",643,507,"1,061",2,"2,213","25,522"
Mills,"1,902","4,843","3,081",27,"9,853",179,280,392,2,853,"10,706"
Mitchell,"1,684","2,390","2,738",9,"6,821",106,108,180,1,395,"7,216"
Monona,"1,865","1,844","2,362",10,"6,081",123,125,225,0,473,"6,554"
Monroe,"1,583","1,487","1,563",6,"4,639",99,72,137,3,311,"4,950"
Montgomery,973,"3,609","2,139",5,"6,726",88,200,253,1,542,"7,268"
Muscatine,"7,436","7,875","10,464",56,"25,831",641,589,"1,213",2,"2,445","28,276"
O'Brien,"1,266","5,258","2,652",16,"9,192",96,220,301,2,619,"9,811"
Osceola,486,"2,461","1,109",4,"4,060",32,99,124,0,255,"4,315"
Page,"1,511","4,205","3,434",15,"9,165",171,248,527,5,951,"10,116"
Palo Alto,"2,169","1,583","2,187",12,"5,951",124,87,221,0,432,"6,383"
Plymouth,"3,060","7,691","5,484",37,"16,272",295,436,601,2,"1,334","17,606"
Pocahontas,"1,036","1,630","2,207",14,"4,887",55,74,172,1,302,"5,189"
Polk,"100,168","80,802","85,567","1,542","268,079","6,471","4,253","6,932",94,"17,750","285,829"
Pottawattamie,"14,791","19,994","18,837",244,"53,866","1,930","1,597","2,872",30,"6,429","60,295"
Poweshiek,"3,631","3,637","5,254",49,"12,571",538,124,480,2,"1,144","13,715"
Ringgold,821,"1,430",748,2,"3,001",45,50,70,0,165,"3,166"
Sac,"1,275","3,047","2,535",6,"6,863",77,119,213,0,409,"7,272"
Scott,"34,340","30,320","46,046",573,"111,279","3,416","2,270","5,156",36,"10,878","122,157"
Shelby,"1,708","3,452","2,505",9,"7,674",59,64,127,1,251,"7,925"
Sioux,"1,604","14,310","3,915",29,"19,858",112,481,404,3,"1,000","20,858"
Story,"15,558","15,825","21,871",424,"53,678","2,253","1,545","3,420",65,"7,283","60,961"
Tama,"3,091","3,220","4,698",15,"11,024",160,128,379,0,667,"11,691"
Taylor,690,"1,784","1,226",7,"3,707",80,108,241,0,429,"4,136"
Union,"1,634","2,685","3,193",13,"7,525",80,98,239,0,417,"7,942"
Van Buren,970,"2,086","1,565",22,"4,643",67,107,191,0,365,"5,008"
Wapello,"8,498","4,966","7,072",43,"20,579",709,349,868,3,"1,929","22,508"
Warren,"9,215","10,676","11,200",88,"31,179",602,592,"1,058",8,"2,260","33,439"
Washington,"2,867","5,550","5,368",52,"13,837",162,206,415,2,785,"14,622"
Wayne,925,"1,327","1,175",3,"3,430",57,80,88,0,225,"3,655"
Webster,"8,129","6,388","8,496",59,"23,072",672,451,"1,069",6,"2,198","25,270"
Winnebago,"1,470","2,828","2,857",8,"7,163",128,118,247,0,493,"7,656"
Winneshiek,"3,464","4,245","5,326",26,"13,061",207,113,299,0,619,"13,680"
Woodbury,"17,594","18,534","19,245",170,"55,543","1,606","1,139","2,090",19,"4,854","60,397"
Worth,"1,432","1,694","2,055",5,"5,186",122,78,260,2,462,"5,648"
Wright,"1,818","3,386","2,604",13,"7,821",149,217,301,1,668,"8,489"
Totals,"583,784","609,853","717,150","7,191","1,917,978","49,631","36,168","75,058",668,"161,525","2,079,503"
