County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Monona,997,2365,32,1050,2,4446,250,429,14,517,7,1217,5663
Monroe,764,2159,17,969,0,3909,289,426,14,654,4,1387,5296
Montgomery,745,2800,28,863,3,4439,412,940,22,1262,12,2648,7087
Muscatine,4912,7274,96,5285,36,17603,3164,2268,122,5555,52,11161,28764
O'Brien,793,5067,37,1243,9,7149,405,1033,26,1016,6,2486,9635
Osceola,274,2155,12,564,1,3006,136,510,5,541,4,1196,4202
Page,999,4912,33,1433,6,7383,515,1171,38,1332,7,3063,10446
Palo Alto,1205,2173,20,1194,4,4596,423,442,11,867,4,1747,6343
Plymouth,1973,7666,41,3276,11,12967,921,1889,52,2294,18,5174,18141
Pocahontas,596,2059,27,941,2,3625,212,373,8,602,7,1202,4827
Polk,93706,73458,1677,65626,349,234816,36240,18843,1237,41456,388,98164,332980
Pottawattamie,10698,19220,377,10313,91,40699,6115,6704,393,10616,131,23959,64658
Poweshiek,2774,3585,40,3298,10,9707,1733,772,35,2050,5,4595,14302
Ringgold,467,1651,9,386,2,2515,121,325,2,285,2,735,3250
Sac,765,3190,12,1345,4,5316,258,654,9,963,6,1890,7206
Scott,25891,29180,502,28558,134,84265,13544,8034,496,22977,153,45204,129469
Shelby,1104,3703,35,1415,4,6261,429,791,20,1062,6,2308,8569
Sioux,1295,14079,46,2723,9,18152,699,2633,44,2013,13,5402,23554
Story,15618,13997,351,14405,81,44452,7786,5298,386,11612,105,25187,69639
Tama,1924,3842,32,2208,15,8021,827,649,20,1844,4,3344,11365
Taylor,425,1737,10,632,3,2807,160,412,18,522,2,1114,3921
Union,1043,3017,25,1767,3,5855,417,611,27,1420,5,2480,8335
Van Buren,526,2123,20,854,7,3530,195,471,10,703,5,1384,4914
Wapello,4232,5311,65,3893,15,13516,2402,1661,61,3612,32,7768,21284
Warren,8196,12902,194,8289,28,29609,2410,2868,139,4950,30,10397,40006
Washington,2487,5403,54,2955,12,10911,790,1282,58,2254,10,4394,15305
Wayne,461,1882,14,598,2,2957,191,313,8,413,1,926,3883
Webster,4266,7653,107,4296,17,16339,2167,1918,79,4271,41,8476,24815
Winnebago,1113,2680,20,1687,2,5502,487,579,22,1332,3,2423,7925
Winneshiek,3574,4278,37,3622,12,11523,1029,601,26,1600,15,3271,14794
Woodbury,9980,17588,234,10004,56,37862,7685,6111,215,11569,82,25662,63524
Worth,911,1974,25,1067,3,3980,279,357,10,830,2,1478,5458
Wright,1064,3110,22,1483,2,5681,478,641,13,1084,7,2223,7904
Totals,"460,494","628,848","9,058","445,725","1,921","1,546,046","189,618","153,329","7,129","318,413","2,330","670,819","2,216,865"
