County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Clayton,"3,327","3,524",35,"4,569",6,"11,461",168,134,1,281,1,585,"12,046"
Clinton,"9,775","7,677",72,"13,524",46,"31,094",542,246,6,875,2,"1,671","32,765"
Crawford,"2,464","3,287",18,"3,630",6,"9,405",137,140,2,265,0,544,"9,949"
Dallas,"12,690","19,801",278,"21,024",51,"53,844",651,978,9,"1,541",4,"3,183","57,027"
Davis,"1,664","1,755",7,"1,442",4,"4,872",111,81,1,157,1,351,"5,223"
Decatur,"1,343","1,769",20,"1,389",5,"4,526",147,97,3,172,1,420,"4,946"
Delaware,"2,294","4,386",26,"4,645",7,"11,358",95,99,2,225,1,422,"11,780"
Des Moines,"10,353","6,613",103,"8,824",42,"25,935",703,333,6,864,2,"1,908","27,843"
Dickinson,"2,352","5,479",43,"4,612",10,"12,496",161,242,2,361,2,768,"13,264"
Dubuque,"25,475","16,354",269,"21,839",89,"64,026","1,384",768,17,"1,703",13,"3,885","67,911"
Emmet,"1,745","1,810",17,"2,747",2,"6,321",104,96,0,274,1,475,"6,796"
Fayette,"3,365","4,129",39,"4,314",14,"11,861",136,70,2,206,2,416,"12,277"
Floyd,"2,913","2,721",23,"4,708",9,"10,374",202,103,5,326,1,637,"11,011"
Franklin,"1,165","3,110",14,"2,090",3,"6,382",64,94,0,165,1,324,"6,706"
Fremont,999,"2,247",12,"1,481",7,"4,746",64,75,0,139,0,278,"5,024"
Greene,"1,576","2,400",27,"2,178",5,"6,186",64,73,3,167,0,307,"6,493"
Grundy,"1,365","4,052",19,"3,068",7,"8,511",54,99,4,188,0,345,"8,856"
Guthrie,"1,633","2,785",31,"2,884",2,"7,335",141,182,1,365,0,689,"8,024"
Hamilton,"2,302","4,001",30,"3,435",9,"9,777",98,102,2,254,0,456,"10,233"
Hancock,"1,443","3,294",11,"2,755",7,"7,510",62,82,2,217,0,363,"7,873"
Hardin,"2,468","4,651",40,"3,878",10,"11,047",123,176,3,269,1,572,"11,619"
Harrison,"2,088","3,801",35,"2,691",14,"8,629",32,55,1,72,1,161,"8,790"
Henry,"2,633","5,044",45,"4,862",9,"12,593",266,237,2,570,1,"1,076","13,669"
Howard,"1,690","1,461",13,"2,674",1,"5,839",75,47,0,183,0,305,"6,144"
Humboldt,"1,182","2,656",14,"2,422",1,"6,275",63,79,2,158,0,302,"6,577"
Ida,784,"2,239",14,"1,697",3,"4,737",24,52,0,98,0,174,"4,911"
Iowa,"2,591","3,897",41,"4,842",5,"11,376",116,146,1,293,0,556,"11,932"
Jackson,"4,878","3,166",26,"5,695",8,"13,773",199,116,2,400,1,718,"14,491"
Jasper,"8,232","7,336",64,"8,684",17,"24,333",308,240,2,542,2,"1,094","25,427"
Jefferson,"3,885","3,367",49,"3,034",47,"10,382",248,119,7,315,7,696,"11,078"
Johnson,"42,992","19,114",639,"29,556",222,"92,523","5,104","2,487",82,"6,025",47,"13,745","106,268"
Jones,"3,120","3,783",22,"6,012",7,"12,944",110,88,2,342,1,543,"13,487"
Keokuk,"1,846","2,389",14,"2,245",4,"6,498",108,73,0,168,0,349,"6,847"
Kossuth,"2,975","3,511",21,"4,322",8,"10,837",117,130,1,302,0,550,"11,387"
Lee,"9,017","4,456",84,"8,069",24,"21,650",549,253,11,843,0,"1,656","23,306"
Linn,"49,925","38,525",980,"50,856",314,"140,600","2,945","1,665",69,"3,697",22,"8,398","148,998"
Louisa,"1,614","2,477",14,"2,598",5,"6,708",146,126,1,322,1,596,"7,304"
Lucas,"1,251","2,277",13,"1,998",2,"5,541",56,101,0,160,1,318,"5,859"
Lyon,830,"5,382",11,"1,625",2,"7,850",118,265,2,227,0,612,"8,462"
Madison,"2,628","4,330",37,"3,740",9,"10,744",125,179,3,288,1,596,"11,340"
Mahaska,"2,443","6,834",58,"4,299",14,"13,648",321,308,4,587,0,"1,220","14,868"
Marion,"5,169","9,523",68,"7,713",19,"22,492",263,367,7,547,0,"1,184","23,676"
Marshall,"7,002","7,446",66,"8,828",23,"23,365",380,280,4,661,0,"1,325","24,690"
Mills,"1,951","5,009",57,"3,006",18,"10,041",106,131,1,249,1,488,"10,529"
Mitchell,"1,622","2,530",7,"2,737",5,"6,901",95,89,1,196,0,381,"7,282"
Monona,"1,691","2,065",15,"2,218",7,"5,996",57,52,1,100,0,210,"6,206"
Monroe,"1,492","1,719",10,"1,568",0,"4,789",62,54,1,101,1,219,"5,008"
Montgomery,"1,018","3,618",14,"2,210",7,"6,867",51,108,1,166,0,326,"7,193"
Muscatine,"7,876","8,092",81,"10,247",42,"26,338",510,372,5,888,0,"1,775","28,113"
O'Brien,"1,154","5,733",25,"2,392",9,"9,313",85,149,3,187,1,425,"9,738"
Osceola,456,"2,514",3,"1,126",4,"4,103",27,84,0,103,1,215,"4,318"
Page,"1,458","5,113",25,"2,766",11,"9,373",101,177,5,290,0,573,"9,946"
Palo Alto,"1,967","1,788",16,"2,269",4,"6,044",70,31,0,97,0,198,"6,242"
Plymouth,"2,993","8,303",52,"5,345",24,"16,717",156,283,2,321,0,762,"17,479"
Pocahontas,923,"2,048",14,"1,888",4,"4,877",80,91,2,216,0,389,"5,266"
Polk,"110,315","85,841","2,019","86,440",544,"285,159","6,009","3,486",112,"5,934",30,"15,571","300,730"
Pottawattamie,"15,370","21,213",381,"19,809",116,"56,889","1,994","1,715",33,"3,055",14,"6,811","63,700"
Poweshiek,"4,058","3,720",44,"4,835",11,"12,668",623,124,7,587,4,"1,345","14,013"
Ringgold,821,"1,534",6,776,0,"3,137",36,35,0,59,0,130,"3,267"
Sac,"1,231","3,116",12,"2,435",5,"6,799",69,108,0,208,0,385,"7,184"
Scott,"35,789","32,250",622,"46,055",183,"114,899","2,877","1,851",54,"4,284",17,"9,083","123,982"
Shelby,"1,727","3,603",20,"2,668",3,"8,021",65,99,2,132,1,299,"8,320"
Sioux,"1,689","15,427",47,"3,992",18,"21,173",132,490,6,333,2,963,"22,136"
Story,"19,001","18,020",545,"22,984",160,"60,710","2,023","1,480",70,"3,103",21,"6,697","67,407"
Tama,"3,038","3,389",27,"4,708",7,"11,169",141,83,1,301,0,526,"11,695"
Taylor,672,"1,878",20,"1,239",0,"3,809",48,83,1,116,0,248,"4,057"
Union,"1,661","2,725",22,"3,266",5,"7,679",77,95,0,257,0,429,"8,108"
Van Buren,951,"2,076",12,"1,597",9,"4,645",48,53,4,107,1,213,"4,858"
Wapello,"8,086","5,423",61,"6,837",38,"20,445",542,251,3,770,1,"1,567","22,012"
Warren,"9,508","11,645",146,"11,655",24,"32,978",437,458,7,804,3,"1,709","34,687"
Washington,"2,929","6,107",67,"4,968",28,"14,099",145,201,4,375,1,726,"14,825"
Wayne,913,"1,442",10,"1,237",2,"3,604",37,63,1,69,0,170,"3,774"
Webster,"7,641","6,820",80,"8,535",41,"23,117",496,302,3,835,1,"1,637","24,754"
Winnebago,"1,485","2,814",19,"2,906",7,"7,231",160,132,1,324,0,617,"7,848"
Winneshiek,"3,969","4,414",28,"5,215",22,"13,648",249,128,3,439,2,821,"14,469"
Woodbury,"17,586","20,217",209,"19,036",78,"57,126","1,446","1,133",23,"1,893",8,"4,503","61,629"
Worth,"1,332","1,959",5,"2,028",1,"5,325",97,74,2,212,0,385,"5,710"
Wright,"1,806","3,395",23,"2,597",8,"7,829",99,111,2,212,1,425,"8,254"
Totals,"610,471","656,174","9,258","707,608","2,913","1,986,424","40,962","29,676",719,"62,006",254,"133,617","2,120,041"
