County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Pocahontas,600,2062,27,966,2,3657,208,367,8,597,7,1187,4844
Polk,94926,74153,1720,68096,366,239261,34609,17922,1178,40058,378,94145,333406
Pottawattamie,10960,19577,393,10797,91,41818,5932,6536,382,10410,130,23390,65208
Poweshiek,2787,3597,41,3401,10,9836,1707,750,34,2004,5,4500,14336
Ringgold,423,1686,10,400,2,2521,117,322,2,281,2,724,3245
Sac,772,3206,11,1383,4,5376,250,644,9,950,6,1859,7235
Scott,26321,29460,520,29675,141,86117,13014,7633,472,22266,148,43533,129650
Shelby,1120,3713,38,1442,4,6317,418,784,20,1045,6,2273,8590
Sioux,1333,14117,48,2857,9,18364,664,2528,43,1942,12,5189,23553
Story,15856,14099,363,14951,86,45355,7564,5197,381,11378,103,24623,69978
Tama,1946,3830,32,2242,15,8065,809,628,19,1824,4,3284,11349
Taylor,422,1798,11,624,3,2858,155,403,18,512,2,1090,3948
Union,1056,3016,25,1827,3,5927,405,597,27,1389,5,2423,8350
Van Buren,528,2127,21,888,7,3571,190,466,10,683,4,1353,4924
Wapello,4258,5387,69,4033,16,13763,2346,1628,57,3545,32,7608,21371
Warren,8312,13017,202,8576,30,30137,2326,2797,136,4837,26,10122,40259
Washington,2520,5446,56,3065,14,11101,762,1243,57,2205,10,4277,15378
Wayne,474,1891,15,611,2,2993,181,307,8,406,1,903,3896
Webster,4310,7716,110,4412,18,16566,2117,1880,76,4177,38,8288,24854
Winnebago,1122,2703,21,1718,2,5566,476,565,21,1308,3,2373,7939
Winneshiek,3613,4291,37,3724,13,11678,1009,590,26,1566,15,3206,14884
Woodbury,10155,17741,236,10480,62,38674,7520,5998,213,11418,80,25229,63903
Worth,919,1985,25,1100,3,4032,275,348,10,815,2,1450,5482
Wright,1071,3119,27,1517,5,5739,464,632,12,1061,7,2176,7915
Totals,"466,252","634,257","9,325","461,883","2,037","1,573,754","182,381","148,204","6,864","310,030","2,259","649,738","2,223,492"
