County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Des Moines,"10,202","6,649",137,"8,938",31,"25,957",815,409,12,"1,040",5,"2,281","28,238"
Dickinson,"2,409","5,837",62,"4,470",7,"12,785",155,240,3,381,2,781,"13,566"
Dubuque,"25,934","15,974",356,"22,268",88,"64,620","1,641",979,31,"1,972",19,"4,642","69,262"
Emmet,"1,692","1,850",17,"2,723",2,"6,284",113,119,1,306,1,540,"6,824"
Fayette,"3,386","3,983",47,"4,252",14,"11,682",173,107,3,262,2,547,"12,229"
Floyd,"2,834","2,663",33,"4,769",10,"10,309",225,131,6,399,1,762,"11,071"
Franklin,"1,204","2,985",21,"2,073",4,"6,287",72,99,0,174,1,346,"6,633"
Fremont,"1,007","2,319",14,"1,345",6,"4,691",91,114,0,172,0,377,"5,068"
Greene,"1,650","2,375",37,"2,192",5,"6,259",67,87,5,180,0,339,"6,598"
Grundy,"1,413","3,928",34,"3,092",8,"8,475",55,134,3,205,2,399,"8,874"
Guthrie,"1,630","2,839",48,"2,992",3,"7,512",57,93,1,175,0,326,"7,838"
Hamilton,"2,311","3,922",41,"3,428",9,"9,711",115,134,2,300,0,551,"10,262"
Hancock,"1,396","3,301",17,"2,712",8,"7,434",72,94,3,237,0,406,"7,840"
Hardin,"2,517","4,640",59,"3,774",10,"11,000",138,214,3,299,0,654,"11,654"
Harrison,"2,040","3,771",45,"2,546",10,"8,412",41,83,1,100,2,227,"8,639"
Henry,"2,641","5,011",58,"4,765",8,"12,483",280,288,3,644,1,"1,216","13,699"
Howard,"1,654","1,486",20,"2,646",1,"5,807",92,67,0,218,0,377,"6,184"
Humboldt,"1,212","2,681",26,"2,336",3,"6,258",66,102,2,188,0,358,"6,616"
Ida,783,"2,183",17,"1,702",3,"4,688",33,73,0,116,0,222,"4,910"
Iowa,"2,567","4,056",63,"4,799",10,"11,495",120,174,0,313,0,607,"12,102"
Jackson,"4,866","3,111",31,"5,937",9,"13,954",220,137,2,446,1,806,"14,760"
Jasper,"8,128","7,424",98,"8,921",18,"24,589",358,291,2,614,1,"1,266","25,855"
Jefferson,"4,187","3,165",72,"2,855",31,"10,310",321,161,9,387,10,888,"11,198"
Johnson,"43,729","18,020",681,"29,545",178,"92,153","6,982","3,212",141,"7,523",58,"17,916","110,069"
Jones,"3,054","3,955",33,"5,964",5,"13,011",120,124,5,385,1,635,"13,646"
Keokuk,"1,780","2,390",18,"2,229",5,"6,422",119,92,0,189,0,400,"6,822"
Kossuth,"2,990","3,458",29,"4,281",9,"10,767",134,153,2,328,0,617,"11,384"
Lee,"8,772","4,496",121,"8,065",22,"21,476",607,307,13,"1,018",3,"1,948","23,424"
Linn,"51,845","37,980","1,302","51,992",311,"143,430","3,356","2,054",101,"4,181",31,"9,723","153,153"
Louisa,"1,653","2,377",22,"2,677",6,"6,735",103,106,1,234,1,445,"7,180"
Lucas,"1,234","2,297",16,"1,981",3,"5,531",69,108,1,190,1,369,"5,900"
Lyon,775,"5,686",17,"1,528",1,"8,007",92,204,2,187,1,486,"8,493"
Madison,"2,653","4,240",56,"3,872",9,"10,830",138,248,4,355,0,745,"11,575"
Mahaska,"2,380","6,971",85,"4,226",13,"13,675",285,303,6,519,1,"1,114","14,789"
Marion,"5,059","9,672",96,"7,477",20,"22,324",335,507,8,709,1,"1,560","23,884"
Marshall,"7,044","7,184",95,"8,669",31,"23,023",495,359,7,827,0,"1,688","24,711"
Mills,"1,943","5,019",83,"2,941",19,"10,005",75,121,4,134,2,336,"10,341"
Mitchell,"1,601","2,487",17,"2,733",5,"6,843",76,79,1,173,0,329,"7,172"
Monona,"1,618","2,079",21,"2,188",8,"5,914",69,84,2,138,1,294,"6,208"
Monroe,"1,431","1,727",15,"1,532",0,"4,705",75,79,1,131,1,287,"4,992"
Montgomery,"1,083","3,518",20,"2,257",6,"6,884",68,160,3,212,1,444,"7,328"
Muscatine,"7,856","7,896",116,"10,403",42,"26,313",600,449,10,"1,084",2,"2,145","28,458"
O'Brien,"1,134","5,695",29,"2,374",8,"9,240",102,190,5,224,1,522,"9,762"
Osceola,452,"2,477",8,"1,103",5,"4,045",23,68,0,85,1,177,"4,222"
Page,"1,524","4,929",34,"2,897",10,"9,394",133,243,7,359,0,742,"10,136"
Palo Alto,"1,873","1,873",17,"2,262",6,"6,031",86,50,0,144,0,280,"6,311"
Plymouth,"3,028","8,367",69,"5,341",23,"16,828",158,321,4,350,0,833,"17,661"
Pocahontas,946,"1,966",21,"1,837",3,"4,773",74,66,3,182,0,325,"5,098"
Polk,"115,303","81,519","2,477","86,562",485,"286,346","7,524","4,872",202,"7,621",55,"20,274","306,620"
Pottawattamie,"15,278","20,943",466,"19,634",120,"56,441","2,456","2,179",63,"3,783",22,"8,503","64,944"
Poweshiek,"4,169","3,744",55,"4,947",9,"12,924",705,157,7,673,4,"1,546","14,470"
Ringgold,838,"1,457",7,725,1,"3,028",44,66,0,65,0,175,"3,203"
Sac,"1,241","3,226",19,"2,328",8,"6,822",68,96,0,200,0,364,"7,186"
Scott,"35,508","31,106",713,"46,671",166,"114,164","3,886","2,687",92,"5,687",28,"12,380","126,544"
Shelby,"1,731","3,556",25,"2,615",2,"7,929",75,114,4,160,0,353,"8,282"
Sioux,"1,746","15,384",51,"4,051",17,"21,249",124,465,6,325,3,923,"22,172"
Story,"19,847","17,415",641,"22,626",144,"60,673","2,456","1,760",97,"3,593",32,"7,938","68,611"
Tama,"2,979","3,325",39,"4,732",8,"11,083",151,97,1,352,0,601,"11,684"
Taylor,671,"1,843",20,"1,204",0,"3,738",31,62,1,89,0,183,"3,921"
Union,"1,666","2,705",32,"3,182",5,"7,590",104,143,0,341,1,589,"8,179"
Van Buren,943,"2,028",19,"1,675",8,"4,673",54,67,4,129,0,254,"4,927"
Wapello,"7,989","5,271",74,"6,741",31,"20,106",600,329,6,904,0,"1,839","21,945"
Warren,"9,858","11,491",198,"11,707",25,"33,279",534,625,13,990,4,"2,166","35,445"
Washington,"3,101","5,800",90,"5,138",22,"14,151",165,252,5,444,1,867,"15,018"
Wayne,899,"1,423",16,"1,164",2,"3,504",33,64,1,72,1,171,"3,675"
Webster,"7,641","7,087",111,"9,175",44,"24,058",477,292,3,803,3,"1,578","25,636"
Winnebago,"1,488","2,756",29,"2,990",5,"7,268",150,132,1,318,0,601,"7,869"
Winneshiek,"4,188","4,312",40,"5,365",23,"13,928",301,149,4,493,4,951,"14,879"
Woodbury,"17,674","19,796",324,"19,174",68,"57,036","1,599","1,277",29,"2,157",11,"5,073","62,109"
Worth,"1,334","1,892",14,"2,031",1,"5,272",114,96,2,249,0,461,"5,733"
Wright,"1,737","3,424",34,"2,544",7,"7,746",121,151,2,238,1,513,"8,259"
Totals,"620,639","644,141","11,876","710,586","2,720","1,989,962","49,316","37,356","1,124","73,515",377,"161,688","2,151,650"
