County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Marshall,"7,157","7,507","8,686",40,"23,390",666,541,"1,116",4,"2,327","25,717"
Mills,"1,997","5,000","2,947",33,"9,977",201,304,434,3,942,"10,919"
Mitchell,"1,662","2,462","2,664",10,"6,798",113,116,207,1,437,"7,235"
Monona,"1,797","1,974","2,247",9,"6,027",129,145,249,1,524,"6,551"
Monroe,"1,524","1,635","1,484",4,"4,647",117,81,145,3,346,"4,993"
Montgomery,"1,034","3,567","2,103",7,"6,711",93,215,279,1,588,"7,299"
Muscatine,"7,814","8,134","9,646",67,"25,661",830,724,"1,462",3,"3,019","28,680"
O'Brien,"1,282","5,381","2,547",18,"9,228",109,249,320,2,680,"9,908"
Osceola,496,"2,477","1,089",5,"4,067",30,109,135,0,274,"4,341"
Page,"1,535","4,496","3,214",19,"9,264",180,282,551,5,"1,018","10,282"
Palo Alto,"2,103","1,737","2,114",9,"5,963",123,92,215,1,431,"6,394"
Plymouth,"3,097","7,974","5,282",37,"16,390",317,469,628,3,"1,417","17,807"
Pocahontas,"1,022","1,779","2,098",13,"4,912",60,83,186,1,330,"5,242"
Polk,"106,655","84,235","78,353","1,450","270,693","8,043","5,459","8,254",138,"21,894","292,587"
Pottawattamie,"15,147","20,534","18,456",280,"54,417","2,101","1,774","3,104",34,"7,013","61,430"
Poweshiek,"3,999","3,703","4,512",32,"12,246",916,202,773,10,"1,901","14,147"
Ringgold,819,"1,462",755,2,"3,038",51,46,77,0,174,"3,212"
Sac,"1,290","3,076","2,474",9,"6,849",81,141,238,0,460,"7,309"
Scott,"36,368","31,867","43,176",569,"111,980","3,867","2,737","5,974",56,"12,634","124,614"
Shelby,"1,775","3,494","2,458",9,"7,736",63,89,140,1,293,"8,029"
Sioux,"1,744","14,971","3,682",26,"20,423",122,542,439,4,"1,107","21,530"
Story,"18,764","17,823","18,857",391,"55,835","2,505","1,756","3,764",75,"8,100","63,935"
Tama,"3,130","3,376","4,463",15,"10,984",184,142,439,2,767,"11,751"
Taylor,687,"1,810","1,199",8,"3,704",81,120,234,0,435,"4,139"
Union,"1,719","2,712","3,105",10,"7,546",96,119,264,0,479,"8,025"
Van Buren,990,"2,121","1,552",15,"4,678",73,110,195,2,380,"5,058"
Wapello,"8,432","5,353","6,707",46,"20,538",755,392,939,3,"2,089","22,627"
Warren,"9,586","11,470","10,574",80,"31,710",688,675,"1,133",9,"2,505","34,215"
Washington,"3,060","5,757","5,067",48,"13,932",178,244,471,4,897,"14,829"
Wayne,908,"1,409","1,128",5,"3,450",61,82,94,0,237,"3,687"
Webster,"8,069","6,691","8,347",60,"23,167",734,501,"1,135",8,"2,378","25,545"
Winnebago,"1,473","2,834","2,757",9,"7,073",171,145,305,0,621,"7,694"
Winneshiek,"3,945","4,425","4,908",24,"13,302",221,124,356,0,701,"14,003"
Woodbury,"17,882","19,710","18,159",164,"55,915","1,770","1,297","2,321",24,"5,412","61,327"
Worth,"1,415","1,781","2,005",5,"5,206",127,82,262,2,473,"5,679"
Wright,"1,867","3,419","2,516",13,"7,815",155,224,327,2,708,"8,523"
Totals,"610,608","639,476","670,068","6,821","1,926,973","57,344","42,550","85,453",910,"186,257","2,113,230"
