State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 039,"6,347","9,431","7,718",98,"23,594",256,352,398,5,"1,011","24,605"
State Representative District 040,"6,788","7,707","5,829",78,"20,402",328,364,380,5,"1,077","21,479"
State Representative District 041,"10,992","4,912","4,703",117,"20,724",708,318,665,15,"1,706","22,430"
State Representative District 042,"7,020","7,110","6,177",122,"20,429",438,459,602,8,"1,507","21,936"
State Representative District 043,"7,258","7,521","5,557",78,"20,414",442,400,510,5,"1,357","21,771"
State Representative District 044,"5,406","9,215","8,695",80,"23,396",792,"1,260","1,821",14,"3,887","27,283"
State Representative District 045,"6,882","5,015","5,732",128,"17,757","1,434",888,"2,059",31,"4,412","22,169"
State Representative District 046,"6,881","5,695","5,869",130,"18,575",892,681,"1,343",36,"2,952","21,527"
State Representative District 047,"5,918","6,531","7,469",44,"19,962",374,437,865,5,"1,681","21,643"
State Representative District 048,"5,556","7,204","7,309",66,"20,135",323,382,674,4,"1,383","21,518"
State Representative District 049,"4,701","7,549","7,330",88,"19,668",300,337,618,12,"1,267","20,935"
State Representative District 050,"3,816","8,872","6,912",30,"19,630",337,407,736,5,"1,485","21,115"
State Representative District 051,"5,136","6,237","7,855",22,"19,250",392,328,850,3,"1,573","20,823"
State Representative District 052,"6,030","5,319","8,552",25,"19,926",375,297,764,6,"1,442","21,368"
State Representative District 053,"6,630","4,678","8,081",32,"19,421",563,297,"1,003",6,"1,869","21,290"
State Representative District 054,"4,105","8,498","7,240",19,"19,862",272,305,645,2,"1,224","21,086"
State Representative District 055,"5,539","6,568","6,499",34,"18,640",372,236,556,3,"1,167","19,807"
State Representative District 056,"4,948","7,042","7,085",40,"19,115",296,308,585,2,"1,191","20,306"
State Representative District 057,"7,383","6,417","8,187",51,"22,038",266,264,448,2,980,"23,018"
State Representative District 058,"7,009","5,037","8,596",28,"20,670",395,261,805,5,"1,466","22,136"
State Representative District 059,"6,083","5,399","7,023",117,"18,622",620,442,955,26,"2,043","20,665"
State Representative District 060,"6,164","7,253","7,208",72,"20,697",511,439,742,11,"1,703","22,400"
State Representative District 061,"7,106","3,954","6,386",80,"17,526",491,242,591,7,"1,331","18,857"
State Representative District 062,"8,480","2,467","5,984",83,"17,014",634,154,541,4,"1,333","18,347"
State Representative District 063,"4,760","6,634","8,884",48,"20,326",315,293,696,9,"1,313","21,639"
State Representative District 064,"5,412","4,667","8,005",36,"18,120",289,194,728,3,"1,214","19,334"
State Representative District 065,"8,400","4,182","5,376",113,"18,071","1,107",419,"1,020",16,"2,562","20,633"
State Representative District 066,"6,942","5,941","6,387",100,"19,370",812,457,942,16,"2,227","21,597"
State Representative District 067,"6,043","7,225","7,385",94,"20,747",574,648,959,8,"2,189","22,936"
State Representative District 068,"6,638","6,231","7,535",97,"20,501",627,529,889,22,"2,067","22,568"
State Representative District 069,"7,215","3,878","6,669",105,"17,867",979,413,"1,132",16,"2,540","20,407"
State Representative District 070,"7,787","4,853","6,823",88,"19,551",815,403,855,10,"2,083","21,634"
State Representative District 071,"5,506","5,092","6,025",26,"16,649",563,443,903,4,"1,913","18,562"
State Representative District 072,"5,273","6,447","7,782",33,"19,535",343,327,773,1,"1,444","20,979"
State Representative District 073,"6,379","6,274","7,388",55,"20,096",306,239,506,7,"1,058","21,154"
State Representative District 074,"9,294","4,255","5,161",92,"18,802","1,227",521,"1,176",17,"2,941","21,743"
State Representative District 075,"4,990","6,321","8,618",45,"19,974",309,231,696,2,"1,238","21,212"
State Representative District 076,"5,885","6,684","7,873",56,"20,498","1,065",413,"1,126",15,"2,619","23,117"
State Representative District 077,"7,736","5,681","7,070",98,"20,585",921,634,"1,141",7,"2,703","23,288"
State Representative District 078,"4,835","7,341","6,770",48,"18,994",354,378,764,8,"1,504","20,498"
State Representative District 079,"3,796","9,483","6,015",57,"19,351",464,652,827,5,"1,948","21,299"
State Representative District 080,"5,511","6,753","6,461",32,"18,757",464,406,772,4,"1,646","20,403"
State Representative District 081,"7,297","4,436","5,463",34,"17,230",703,370,850,4,"1,927","19,157"
State Representative District 082,"6,328","6,520","5,470",75,"18,393",515,399,849,17,"1,780","20,173"
State Representative District 083,"7,931","3,419","6,360",53,"17,763",778,344,"1,058",4,"2,184","19,947"
State Representative District 084,"4,401","7,235","7,010",33,"18,679",462,404,890,3,"1,759","20,438"
State Representative District 085,"12,815","4,500","7,148",175,"24,638","1,887",825,"2,078",43,"4,833","29,471"
State Representative District 086,"10,480","3,285","5,738",122,"19,625","1,643",737,"2,006",40,"4,426","24,051"
State Representative District 087,"8,331","4,208","6,087",51,"18,677",793,369,944,7,"2,113","20,790"
State Representative District 088,"5,537","6,363","6,681",38,"18,619",420,368,794,2,"1,584","20,203"
State Representative District 089,"7,283","4,607","7,959",87,"19,936",721,378,"1,000",9,"2,108","22,044"
State Representative District 090,"7,772","2,835","6,913",117,"17,637",982,350,"1,171",15,"2,518","20,155"
State Representative District 091,"5,687","6,050","6,918",40,"18,695",646,594,"1,132",3,"2,375","21,070"
State Representative District 092,"5,841","6,022","8,165",88,"20,116",612,437,"1,056",4,"2,109","22,225"
State Representative District 093,"7,173","6,266","7,379",91,"20,909",868,692,"1,286",17,"2,863","23,772"
State Representative District 094,"6,029","8,857","8,635",112,"23,633",640,799,"1,228",12,"2,679","26,312"
State Representative District 095,"6,273","6,440","7,697",72,"20,482",532,361,799,9,"1,701","22,183"
State Representative District 096,"4,444","5,962","8,114",23,"18,543",201,230,516,1,948,"19,491"
State Representative District 097,"5,688","6,712","8,765",62,"21,227",391,354,785,4,"1,534","22,761"
State Representative District 098,"6,512","4,087","7,570",44,"18,213",871,315,"1,145",6,"2,337","20,550"
State Representative District 099,"8,822","5,155","6,585",75,"20,637",770,463,932,12,"2,177","22,814"
State Representative District 100,"7,880","3,874","5,938",78,"17,770",897,367,920,16,"2,200","19,970"
Totals,"613,720","636,714","672,358","6,519","1,929,311","55,113","42,354","83,672",834,"181,973","2,111,284"
