State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 053,"6,583","4,348","8,459",37,"19,427",474,262,864,3,"1,603","21,030"
State Representative District 054,"3,955","8,298","7,576",24,"19,853",233,249,541,2,"1,025","20,878"
State Representative District 055,"5,028","6,328","7,024",45,"18,425",328,195,446,3,972,"19,397"
State Representative District 056,"4,840","6,935","7,379",36,"19,190",254,242,488,2,986,"20,176"
State Representative District 057,"7,355","6,053","8,372",46,"21,826",214,196,388,3,801,"22,627"
State Representative District 058,"7,052","4,706","8,935",29,"20,722",361,212,704,4,"1,281","22,003"
State Representative District 059,"5,286","5,038","7,887",135,"18,346",529,340,792,18,"1,679","20,025"
State Representative District 060,"5,816","6,915","7,808",85,"20,624",405,324,595,12,"1,336","21,960"
State Representative District 061,"7,022","3,851","6,724",73,"17,670",402,189,490,4,"1,085","18,755"
State Representative District 062,"8,352","2,345","6,237",76,"17,010",598,127,478,4,"1,207","18,217"
State Representative District 063,"4,646","6,277","9,348",52,"20,323",259,224,582,4,"1,069","21,392"
State Representative District 064,"5,366","4,436","8,339",35,"18,176",257,157,597,3,"1,014","19,190"
State Representative District 065,"7,779","4,013","5,941",119,"17,852","1,055",365,984,13,"2,417","20,269"
State Representative District 066,"6,487","5,729","6,964",96,"19,276",738,396,874,12,"2,020","21,296"
State Representative District 067,"5,523","6,829","7,973",98,"20,423",502,497,837,6,"1,842","22,265"
State Representative District 068,"6,273","5,971","7,908",114,"20,266",546,471,847,18,"1,882","22,148"
State Representative District 069,"6,857","3,607","7,017",103,"17,584",952,367,"1,072",13,"2,404","19,988"
State Representative District 070,"7,623","4,623","7,205",82,"19,533",772,348,811,4,"1,935","21,468"
State Representative District 071,"5,220","4,930","6,423",27,"16,600",521,389,842,2,"1,754","18,354"
State Representative District 072,"5,197","6,162","8,137",35,"19,531",309,263,665,0,"1,237","20,768"
State Representative District 073,"6,113","5,813","7,664",59,"19,649",317,246,510,6,"1,079","20,728"
State Representative District 074,"8,186","3,951","5,931",104,"18,172","1,193",510,"1,166",15,"2,884","21,056"
State Representative District 075,"4,911","5,889","8,899",44,"19,743",324,228,719,3,"1,274","21,017"
State Representative District 076,"5,421","6,489","8,774",67,"20,751",657,292,755,4,"1,708","22,459"
State Representative District 077,"7,442","5,369","8,034",101,"20,946",617,424,782,6,"1,829","22,775"
State Representative District 078,"4,636","7,153","7,101",55,"18,945",293,288,657,4,"1,242","20,187"
State Representative District 079,"3,497","9,076","6,473",65,"19,111",439,552,728,5,"1,724","20,835"
State Representative District 080,"5,669","6,369","6,711",37,"18,786",414,347,725,4,"1,490","20,276"
State Representative District 081,"7,352","4,063","5,762",29,"17,206",648,305,758,3,"1,714","18,920"
State Representative District 082,"5,838","6,341","5,967",94,"18,240",445,343,786,14,"1,588","19,828"
State Representative District 083,"8,041","3,138","6,591",44,"17,814",698,291,976,3,"1,968","19,782"
State Representative District 084,"4,258","7,009","7,159",34,"18,460",465,398,903,3,"1,769","20,229"
State Representative District 085,"10,270","3,739","8,346",227,"22,582","1,939",834,"2,134",41,"4,948","27,530"
State Representative District 086,"8,891","2,958","6,877",161,"18,887","1,551",674,"1,842",36,"4,103","22,990"
State Representative District 087,"8,354","3,887","6,420",49,"18,710",718,311,821,5,"1,855","20,565"
State Representative District 088,"5,591","5,926","7,029",38,"18,584",361,313,692,2,"1,368","19,952"
State Representative District 089,"6,933","4,425","8,396",79,"19,833",652,320,893,3,"1,868","21,701"
State Representative District 090,"7,426","2,661","7,150",114,"17,351",912,309,"1,086",7,"2,314","19,665"
State Representative District 091,"5,407","5,775","7,380",35,"18,597",548,503,"1,018",3,"2,072","20,669"
State Representative District 092,"5,661","5,704","8,610",86,"20,061",541,359,916,4,"1,820","21,881"
State Representative District 093,"6,596","6,079","8,110",102,"20,887",703,528,"1,034",11,"2,276","23,163"
State Representative District 094,"5,489","8,375","9,484",116,"23,464",532,628,980,8,"2,148","25,612"
State Representative District 095,"5,920","6,099","8,152",90,"20,261",512,303,747,11,"1,573","21,834"
State Representative District 096,"4,410","5,771","8,363",19,"18,563",169,186,439,1,795,"19,358"
State Representative District 097,"5,584","6,286","9,158",60,"21,088",330,268,677,5,"1,280","22,368"
State Representative District 098,"6,361","3,839","7,906",39,"18,145",832,281,"1,077",5,"2,195","20,340"
State Representative District 099,"8,567","4,901","7,086",88,"20,642",644,382,805,9,"1,840","22,482"
State Representative District 100,"7,776","3,612","6,254",79,"17,721",754,306,793,8,"1,861","19,582"
Totals,"584,404","609,427","711,468","6,892","1,912,191","48,828","35,866","74,421",647,"159,762","2,071,953"
