State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 064,4012,7694,69,4863,13,16651,1190,1817,47,2972,16,6042,22693
State Representative District 065,5692,7105,72,5166,11,18046,1453,1551,45,2672,15,5736,23782
State Representative District 066,4409,6852,57,5386,9,16713,1141,1376,34,3571,10,6132,22845
State Representative District 067,4016,7057,65,5858,12,17008,1022,1262,33,3193,12,5522,22530
State Representative District 068,3910,5970,55,5002,12,14949,1210,1235,46,3167,15,5673,20622
State Representative District 069,4507,4915,69,4895,20,14406,2341,1472,70,4659,28,8570,22976
State Representative District 070,4355,6979,69,5537,19,16959,1422,1453,49,3707,30,6661,23620
State Representative District 071,5919,3850,108,3620,17,13514,2929,1506,108,3733,35,8311,21825
State Representative District 072,6323,5036,72,4213,24,15668,2241,1356,101,2995,28,6721,22389
State Representative District 073,5744,5999,108,5799,19,17669,1601,1410,63,2706,15,5795,23464
State Representative District 074,5923,4426,97,4880,20,15346,2155,1265,105,3061,27,6613,21959
State Representative District 075,5523,4843,92,4519,25,15002,2109,1367,75,3161,19,6731,21733
State Representative District 076,4620,6563,92,5340,16,16631,1658,1467,56,3126,29,6336,22967
State Representative District 077,4943,3199,97,4232,33,12504,2563,1115,88,3324,40,7130,19634
State Representative District 078,6481,2948,118,3740,36,13323,3245,1226,97,3263,49,7880,21203
State Representative District 079,6067,3809,85,4552,25,14538,2342,1094,100,3201,31,6768,21306
State Representative District 080,5855,5687,99,5166,34,16841,1947,1305,92,2968,30,6342,23183
State Representative District 081,4726,4352,87,4755,20,13940,2898,1391,85,4551,27,8952,22892
State Representative District 082,4064,6515,86,5180,15,15860,1462,1380,49,3284,22,6197,22057
State Representative District 083,5660,6956,107,6024,11,18758,1564,1252,68,2915,12,5811,24569
State Representative District 084,4285,7002,88,6305,16,17696,1078,1253,67,3197,14,5609,23305
State Representative District 085,7713,4086,105,5543,14,17461,2117,1144,76,3060,22,6419,23880
State Representative District 086,7955,2518,73,4483,22,15051,3369,1007,59,3158,31,7624,22675
State Representative District 087,4262,6374,81,3578,26,14321,1773,1710,60,3329,31,6903,21224
State Representative District 088,2762,7909,85,3453,11,14220,1342,2189,77,3195,12,6815,21035
State Representative District 089,7537,1540,57,3475,39,12648,4304,1135,104,3883,41,9467,22115
State Representative District 090,9713,2048,75,3732,33,15601,3780,1093,67,3009,26,7975,23576
State Representative District 091,5272,7389,108,5997,18,18784,1440,1438,61,3226,17,6182,24966
State Representative District 092,4181,6596,67,4073,17,14934,1379,1636,82,3125,16,6238,21172
State Representative District 093,4872,7397,90,6220,20,18599,1748,1815,74,3601,12,7250,25849
State Representative District 094,4834,6336,77,5669,23,16939,1941,1548,86,3701,24,7300,24239
State Representative District 095,3377,7469,72,4656,8,15582,1659,1841,65,3762,14,7341,22923
State Representative District 096,3637,5248,72,3803,28,12788,2377,1672,92,4153,44,8338,21126
State Representative District 097,4973,3029,83,3989,24,12098,3480,1365,117,4894,27,9883,21981
State Representative District 098,4347,3530,82,4349,23,12331,3259,1475,116,5020,51,9921,22252
State Representative District 099,5208,4621,91,4201,24,14145,2800,1643,87,3973,25,8528,22673
State Representative District 100,4918,4625,76,4076,9,13704,2237,1441,76,3765,25,7544,21248
Totals,"460,253","608,393","8,301","442,318","1,847","1,521,112","195,603","160,050","7,317","326,201","2,382","691,553","2,212,665"
