State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 075,5571,4927,97,4669,25,15289,2009,1291,73,3021,18,6412,21701
State Representative District 076,4627,6856,94,5380,18,16975,1575,1392,53,3007,29,6056,23031
State Representative District 077,4995,3295,98,4525,35,12948,2404,1043,84,3188,40,6759,19707
State Representative District 078,6546,2993,123,4025,39,13726,3047,1156,95,3117,46,7461,21187
State Representative District 079,6110,3839,90,4844,26,14909,2203,1024,94,3049,30,6400,21309
State Representative District 080,5924,5750,104,5419,36,17233,1821,1205,84,2838,29,5977,23210
State Representative District 081,4833,4511,95,4962,21,14422,2749,1301,78,4380,27,8535,22957
State Representative District 082,4025,6766,89,5235,16,16131,1415,1330,46,3181,21,5993,22124
State Representative District 083,5682,7037,110,6282,13,19124,1474,1167,67,2790,10,5508,24632
State Representative District 084,4134,7592,97,6153,18,17994,1004,1192,65,3053,13,5327,23321
State Representative District 085,7861,4115,116,5813,16,17921,1941,1059,69,2845,22,5936,23857
State Representative District 086,8148,2594,75,4775,22,15614,3003,900,53,2918,32,6906,22520
State Representative District 087,4166,6727,92,3629,28,14642,1698,1609,58,3227,30,6622,21264
State Representative District 088,2674,8314,94,3399,13,14494,1276,2072,75,3085,10,6518,21012
State Representative District 089,7701,1535,64,3650,42,12992,4015,1078,97,3703,40,8933,21925
State Representative District 090,9865,2034,75,3797,36,15807,3512,1037,64,2862,26,7501,23308
State Representative District 091,5336,7633,114,6103,17,19203,1331,1345,57,3074,15,5822,25025
State Representative District 092,4263,6675,72,4198,19,15227,1315,1553,81,3019,16,5984,21211
State Representative District 093,4977,7597,104,6494,24,19196,1600,1606,70,3403,11,6690,25886
State Representative District 094,4919,6501,89,5908,25,17442,1815,1421,83,3530,21,6870,24312
State Representative District 095,3329,7655,82,4738,8,15812,1595,1767,65,3668,14,7109,22921
State Representative District 096,3599,5335,77,3902,31,12944,2353,1668,93,4094,44,8252,21196
State Representative District 097,5021,3168,90,4234,31,12544,3334,1255,110,4730,26,9455,21999
State Representative District 098,4373,3661,89,4557,26,12706,3127,1394,112,4856,51,9540,22246
State Representative District 099,5218,4721,99,4496,27,14561,2672,1567,82,3830,24,8175,22736
State Representative District 100,4785,5149,83,4110,12,14139,2123,1368,69,3624,23,7207,21346
Totals,"462,382","631,134","9,190","453,398","1,972","1,558,076","186,324","150,985","7,017","314,487","2,299","661,112","2,219,188"
