State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 080,"5,225","7,084",51,"6,550",16,"18,926",342,264,4,644,1,"1,255","20,181"
State Representative District 081,"7,005","4,427",46,"5,569",34,"17,081",497,229,1,682,1,"1,410","18,491"
State Representative District 082,"6,257","6,611",64,"5,738",59,"18,729",370,229,11,532,9,"1,151","19,880"
State Representative District 083,"7,735","3,518",75,"6,574",20,"17,922",546,247,9,849,1,"1,652","19,574"
State Representative District 084,"4,322","7,195",64,"7,112",14,"18,707",291,274,4,655,2,"1,226","19,933"
State Representative District 085,"12,148","3,902",179,"6,817",67,"23,113","2,142","1,073",43,"2,698",20,"5,976","29,089"
State Representative District 086,"10,032","3,115",146,"6,083",73,"19,449","1,810",746,29,"2,001",14,"4,600","24,049"
State Representative District 087,"8,111","4,256",81,"6,394",38,"18,880",667,272,5,761,3,"1,708","20,588"
State Representative District 088,"5,474","6,384",55,"7,225",16,"19,154",242,234,3,498,1,978,"20,132"
State Representative District 089,"7,106","4,617",103,"8,415",30,"20,271",582,283,6,733,4,"1,608","21,879"
State Representative District 090,"7,370","2,846",127,"7,413",44,"17,800",949,294,21,"1,119",4,"2,387","20,187"
State Representative District 091,"5,728","5,930",55,"7,245",31,"18,989",433,308,4,731,0,"1,476","20,465"
State Representative District 092,"5,806","6,075",96,"8,648",33,"20,658",397,291,4,674,5,"1,371","22,029"
State Representative District 093,"7,065","6,293",114,"8,158",38,"21,668",600,448,12,941,5,"2,006","23,674"
State Representative District 094,"6,066","8,930",126,"9,499",34,"24,655",497,592,17,893,1,"2,000","26,655"
State Representative District 095,"6,114","6,406",96,"8,148",23,"20,787",264,195,7,421,2,889,"21,676"
State Representative District 096,"4,201","6,447",40,"8,156",11,"18,855",166,143,4,461,2,776,"19,631"
State Representative District 097,"5,492","6,815",81,"9,356",23,"21,767",238,259,4,512,0,"1,013","22,780"
State Representative District 098,"6,337","4,085",42,"7,991",28,"18,483",448,169,6,696,2,"1,321","19,804"
State Representative District 099,"8,963","5,240",90,"6,816",32,"21,141",586,320,9,630,4,"1,549","22,690"
State Representative District 100,"7,987","4,051",100,"6,149",42,"18,329",683,314,10,775,8,"1,790","20,119"
Totals,"607,400","654,382","9,256","707,256","2,907","1,981,201","42,765","30,553",775,"63,523",268,"137,884","2,119,085"
