State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 030,"7,261","8,100","8,612",261,"24,234",199,234,341,8,782,"25,016"
State Representative District 031,"7,631","4,479","6,096",185,"18,391",287,184,301,11,783,"19,174"
State Representative District 032,"7,949","2,521","4,959",210,"15,639",499,118,395,9,"1,021","16,660"
State Representative District 033,"8,483","3,107","5,646",193,"17,429",430,153,361,12,956,"18,385"
State Representative District 034,"9,432","3,361","6,032",218,"19,043",709,253,561,27,"1,550","20,593"
State Representative District 035,"7,447","1,966","4,290",190,"13,893",674,172,463,24,"1,333","15,226"
State Representative District 036,"9,862","4,096","6,140",234,"20,332",496,223,373,13,"1,105","21,437"
State Representative District 037,"7,827","10,361","10,379",286,"28,853",306,526,517,29,"1,378","30,231"
State Representative District 038,"7,212","7,474","8,073",241,"23,000",310,304,358,20,992,"23,992"
State Representative District 039,"7,593","9,498","9,687",266,"27,044",394,510,535,29,"1,468","28,512"
State Representative District 040,"7,208","6,833","6,540",202,"20,783",342,295,342,15,994,"21,777"
State Representative District 041,"11,845","3,854","5,058",234,"20,991",970,343,655,30,"1,998","22,989"
State Representative District 042,"7,399","6,523","6,725",246,"20,893",534,415,561,19,"1,529","22,422"
State Representative District 043,"7,822","6,474","6,108",183,"20,587",485,320,427,21,"1,253","21,840"
State Representative District 044,"7,916","10,173","12,362",300,"30,751",527,740,"1,074",35,"2,376","33,127"
State Representative District 045,"7,975","4,863","8,062",339,"21,239","1,069",642,"1,366",66,"3,143","24,382"
State Representative District 046,"7,541","5,266","8,608",280,"21,695",994,688,"1,528",65,"3,275","24,970"
State Representative District 047,"5,598","6,819","7,922",176,"20,515",266,308,671,10,"1,255","21,770"
State Representative District 048,"5,224","7,576","8,019",154,"20,973",226,263,522,12,"1,023","21,996"
State Representative District 049,"4,807","7,573","8,094",221,"20,695",226,285,427,10,948,"21,643"
State Representative District 050,"3,794","8,828","7,223",106,"19,951",170,312,417,6,905,"20,856"
State Representative District 051,"4,719","6,370","8,257",84,"19,430",232,212,574,4,"1,022","20,452"
State Representative District 052,"5,350","5,439","8,769",82,"19,640",342,254,701,11,"1,308","20,948"
State Representative District 053,"6,138","4,353","8,691",86,"19,268",360,257,768,7,"1,392","20,660"
State Representative District 054,"3,805","8,141","7,458",102,"19,506",190,288,515,2,995,"20,501"
State Representative District 055,"5,604","6,320","7,115",95,"19,134",536,270,735,14,"1,555","20,689"
State Representative District 056,"4,614","7,181","7,187",98,"19,080",281,278,543,9,"1,111","20,191"
State Representative District 057,"7,720","6,717","8,554",128,"23,119",222,230,427,5,884,"24,003"
State Representative District 058,"6,448","5,297","9,614",59,"21,418",246,174,540,5,965,"22,383"
State Representative District 059,"6,477","5,245","7,779",224,"19,725",613,461,"1,072",29,"2,175","21,900"
State Representative District 060,"6,748","7,055","8,063",165,"22,031",448,443,658,17,"1,566","23,597"
State Representative District 061,"6,882","3,824","6,520",181,"17,407",559,229,577,24,"1,389","18,796"
State Representative District 062,"8,008","2,459","5,839",192,"16,498",592,158,516,6,"1,272","17,770"
State Representative District 063,"4,937","6,505","9,337",130,"20,909",290,265,657,12,"1,224","22,133"
State Representative District 064,"5,020","4,600","8,546",84,"18,250",224,127,555,8,914,"19,164"
State Representative District 065,"8,878","3,847","6,294",271,"19,290",569,201,486,23,"1,279","20,569"
State Representative District 066,"7,388","5,420","7,409",227,"20,444",388,247,450,17,"1,102","21,546"
State Representative District 067,"6,734","7,083","8,790",247,"22,854",273,341,433,12,"1,059","23,913"
State Representative District 068,"7,043","6,098","8,827",255,"22,223",298,281,401,20,"1,000","23,223"
State Representative District 069,"7,615","4,221","8,090",273,"20,199",424,228,528,19,"1,199","21,398"
State Representative District 070,"8,155","4,596","7,785",233,"20,769",410,213,397,25,"1,045","21,814"
State Representative District 071,"5,493","4,677","6,126",141,"16,437",357,273,679,9,"1,318","17,755"
State Representative District 072,"4,914","6,418","8,268",110,"19,710",206,209,505,6,926,"20,636"
State Representative District 073,"6,387","6,150","8,229",133,"20,899",232,219,431,17,899,"21,798"
State Representative District 074,"10,254","3,728","6,765",179,"20,926","1,015",358,747,25,"2,145","23,071"
State Representative District 075,"4,534","6,692","8,793",126,"20,145",205,231,484,8,928,"21,073"
State Representative District 076,"5,910","6,654","8,756",130,"21,450",656,275,642,13,"1,586","23,036"
State Representative District 077,"8,726","5,833","9,366",209,"24,134",473,366,610,27,"1,476","25,610"
State Representative District 078,"4,553","7,472","7,280",134,"19,439",247,303,537,15,"1,102","20,541"
State Representative District 079,"3,270","9,994","6,216",125,"19,605",358,495,758,9,"1,620","21,225"
State Representative District 080,"4,930","7,199","6,592",104,"18,825",309,328,730,12,"1,379","20,204"
State Representative District 081,"6,634","4,385","5,689",84,"16,792",494,266,689,7,"1,456","18,248"
State Representative District 082,"6,360","6,308","5,921",141,"18,730",451,280,581,18,"1,330","20,060"
State Representative District 083,"7,257","3,570","6,713",125,"17,665",521,252,873,23,"1,669","19,334"
State Representative District 084,"4,179","7,148","7,321",103,"18,751",304,349,721,10,"1,384","20,135"
State Representative District 085,"12,511","3,522","7,217",232,"23,482","2,034",856,"1,795",74,"4,759","28,241"
State Representative District 086,"10,629","2,897","6,863",236,"20,625","1,629",558,"1,432",50,"3,669","24,294"
State Representative District 087,"7,769","4,192","6,679",163,"18,803",619,271,781,19,"1,690","20,493"
State Representative District 088,"5,367","6,323","7,681",102,"19,473",231,210,458,8,907,"20,380"
State Representative District 089,"6,913","4,320","8,705",173,"20,111",697,306,919,18,"1,940","22,051"
State Representative District 090,"6,921","2,711","7,582",202,"17,416","1,192",378,"1,400",37,"3,007","20,423"
State Representative District 091,"5,604","5,730","7,676",126,"19,136",395,308,707,10,"1,420","20,556"
State Representative District 092,"5,609","5,897","9,147",147,"20,800",568,377,869,18,"1,832","22,632"
State Representative District 093,"6,944","5,844","8,603",201,"21,592",783,511,"1,149",27,"2,470","24,062"
State Representative District 094,"6,339","8,539","10,575",161,"25,614",575,744,"1,079",30,"2,428","28,042"
State Representative District 095,"6,220","6,428","8,854",166,"21,668",308,215,423,13,959,"22,627"
State Representative District 096,"3,992","6,467","8,356",76,"18,891",168,202,497,8,875,"19,766"
State Representative District 097,"5,319","6,869","9,694",125,"22,007",307,337,709,3,"1,356","23,363"
State Representative District 098,"5,871","4,058","8,307",93,"18,329",554,223,866,12,"1,655","19,984"
State Representative District 099,"9,036","4,955","7,032",182,"21,205",709,386,850,23,"1,968","23,173"
State Representative District 100,"7,699","3,947","6,491",188,"18,325",765,431,909,18,"2,123","20,448"
Totals,"614,518","639,970","746,487","16,225","2,017,200","43,672","33,225","64,647","1,657","143,201","2,160,401"
