State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 072,8317,5680,5248,158,19403,1132,652,1497,64,3345,22748
State Representative District 073,6959,6683,6674,170,20486,756,718,1341,40,2855,23341
State Representative District 074,7549,5008,6006,200,18763,1122,687,1527,73,3409,22172
State Representative District 075,6924,5439,5761,145,18269,1243,785,1805,54,3887,22156
State Representative District 076,5842,7259,6622,152,19875,850,715,1524,39,3128,23003
State Representative District 077,6727,3764,5402,190,16083,1223,578,1693,73,3567,19650
State Representative District 078,8677,3596,4633,217,17123,1825,745,1829,94,4493,21616
State Representative District 079,7868,4388,5731,189,18176,1201,599,1588,82,3470,21646
State Representative District 080,7314,6386,6070,190,19960,1049,708,1497,62,3316,23276
State Representative District 081,6537,4886,6221,167,17811,1751,821,2919,59,5550,23361
State Representative District 082,5166,7166,6408,129,18869,715,652,1680,44,3091,21960
State Representative District 083,6919,7419,7091,156,21585,850,603,1426,41,2920,24505
State Representative District 084,5211,7487,7353,156,20207,585,580,1701,33,2899,23106
State Representative District 085,9137,4489,6261,169,20056,1249,671,1564,55,3539,23595
State Representative District 086,9944,2888,5142,133,18107,1992,673,1676,54,4395,22502
State Representative District 087,5513,7402,4649,132,17696,1161,943,2040,56,4200,21896
State Representative District 088,3730,9231,4956,141,18058,702,884,1688,30,3304,21362
State Representative District 089,9803,2003,4696,178,16680,3028,981,2665,108,6782,23462
State Representative District 090,11221,2356,4270,127,17974,3178,1130,2485,96,6889,24863
State Representative District 091,6357,8074,7001,141,21573,660,629,1476,46,2811,24384
State Representative District 092,5226,7446,5559,139,18370,681,752,1566,55,3054,21424
State Representative District 093,6068,7839,7289,142,21338,999,1145,2151,56,4351,25689
State Representative District 094,6134,6958,6876,134,20102,1204,1013,2299,70,4586,24688
State Representative District 095,4659,8430,6109,118,19316,843,813,2038,35,3729,23045
State Representative District 096,5157,5988,5532,142,16819,1264,884,2307,66,4521,21340
State Representative District 097,6968,3627,5461,182,16238,2373,923,3276,87,6659,22897
State Representative District 098,6323,4200,5996,188,16707,2032,867,3242,90,6231,22938
State Representative District 099,7173,5339,5421,162,18095,1581,786,2168,53,4588,22683
State Representative District 100,6596,5264,5443,131,17434,1259,623,2248,55,4185,21619
Totals,"596,580","682,618","559,881","14,471","1,853,550","107,053","78,655","175,536","5,199","366,443","2,219,993"
