State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 058,6325,6478,6442,79,19324,713,498,1977,18,3206,22530
State Representative District 059,6630,4831,5264,149,16874,1026,718,1649,52,3445,20319
State Representative District 060,7173,7054,6369,139,20735,978,694,1389,43,3104,23839
State Representative District 061,6439,3930,4698,138,15205,1370,548,1624,48,3590,18795
State Representative District 062,7032,2608,3979,139,13758,1774,403,1788,54,4019,17777
State Representative District 063,5141,6988,7461,111,19701,644,544,1560,30,2778,22479
State Representative District 064,5026,5155,6399,83,16663,573,408,1786,24,2791,19454
State Representative District 065,8644,3680,4498,213,17035,1642,667,1648,75,4032,21067
State Representative District 066,7877,5279,5689,209,19054,1070,650,1478,61,3259,22313
State Representative District 067,7711,7377,7071,202,22361,816,739,1456,57,3068,25429
State Representative District 068,7746,6274,6915,200,21135,856,683,1417,52,3008,24143
State Representative District 069,7836,4583,6318,243,18980,1311,684,1891,78,3964,22944
State Representative District 070,8263,4565,5899,212,18939,1162,597,1576,80,3415,22354
State Representative District 071,5441,4630,3881,102,14054,1009,586,1854,41,3490,17544
State Representative District 072,4803,6774,6045,131,17753,625,585,1705,24,2939,20692
State Representative District 073,6728,6826,6462,151,20167,669,549,1389,42,2649,22816
State Representative District 074,11360,3614,5758,177,20909,1632,572,1547,54,3805,24714
State Representative District 075,4505,7199,6788,137,18629,565,564,1768,33,2930,21559
State Representative District 076,5475,7159,6557,121,19312,1523,650,1834,39,4046,23358
State Representative District 077,9913,5991,7932,201,24037,1076,691,1693,50,3510,27547
State Representative District 078,4447,7571,5544,126,17688,631,796,1605,40,3072,20760
State Representative District 079,3374,9847,4839,141,18201,598,976,1534,29,3137,21338
State Representative District 080,4167,7861,5111,118,17257,750,732,1524,35,3041,20298
State Representative District 081,5477,4591,4300,96,14464,1244,662,1725,35,3666,18130
State Representative District 082,5847,7063,4167,119,17196,874,701,1417,38,3030,20226
State Representative District 083,6205,4282,4577,116,15180,1228,522,2062,54,3866,19046
State Representative District 084,4057,7447,5195,102,16801,714,839,2107,51,3711,20512
State Representative District 085,12371,2439,4621,167,19598,3104,1230,2610,120,7064,26662
State Representative District 086,10529,2382,4932,165,18008,2514,865,2367,82,5828,23836
State Representative District 087,6859,4303,4673,145,15980,1525,685,2045,50,4305,20285
State Representative District 088,4981,6789,5464,94,17328,854,682,1819,34,3389,20717
State Representative District 089,6603,4308,5887,170,16968,1650,734,2790,54,5228,22196
State Representative District 090,5943,2750,4793,179,13665,2368,768,3376,92,6604,20269
State Representative District 091,5231,5800,5244,154,16429,1231,830,2229,63,4353,20782
State Representative District 092,5695,6146,7005,163,19009,1178,758,2336,60,4332,23341
State Representative District 093,7326,5465,6139,173,19103,1538,981,2619,80,5218,24321
State Representative District 094,7415,8650,8332,156,24553,1186,1205,2515,63,4969,29522
State Representative District 095,6589,6974,7032,150,20745,780,537,1470,37,2824,23569
State Representative District 096,4193,6995,6493,79,17760,455,518,1418,19,2410,20170
State Representative District 097,5606,7584,7367,155,20712,699,677,1894,44,3314,24026
State Representative District 098,5616,4655,5515,110,15896,1191,577,2372,43,4183,20079
State Representative District 099,8841,5361,5135,190,19527,1309,683,1579,59,3630,23157
State Representative District 100,7266,4310,4591,163,16330,1459,785,1890,59,4193,20523
Totals,"611,639","662,932","560,098","14,899","1,849,568","101,373","75,036","172,592","4,911","353,912","2,203,480"
