State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 023,"3,851","10,012","6,126",94,"20,083",408,628,914,5,"1,955","22,038"
State Representative District 024,"3,308","9,691","5,386",58,"18,443",298,467,840,6,"1,611","20,054"
State Representative District 025,"5,818","8,584","7,668",89,"22,159",358,454,706,5,"1,523","23,682"
State Representative District 026,"6,612","7,371","7,149",90,"21,222",373,375,650,3,"1,401","22,623"
State Representative District 027,"4,834","6,622","6,092",60,"17,608",282,323,598,2,"1,205","18,813"
State Representative District 028,"5,282","7,229","7,201",58,"19,770",275,319,562,3,"1,159","20,929"
State Representative District 029,"7,650","5,735","7,115",63,"20,563",421,327,762,4,"1,514","22,077"
State Representative District 030,"7,003","8,001","7,243",169,"22,416",289,331,414,4,"1,038","23,454"
State Representative District 031,"7,759","4,753","5,391",136,"18,039",365,210,409,4,988,"19,027"
State Representative District 032,"8,098","2,672","4,421",134,"15,325",529,159,438,13,"1,139","16,464"
State Representative District 033,"8,239","3,238","4,886",117,"16,480",657,252,580,11,"1,500","17,980"
State Representative District 034,"8,973","3,702","5,126",165,"17,966",892,318,722,14,"1,946","19,912"
State Representative District 035,"7,834","2,244","3,964",123,"14,165",606,160,447,9,"1,222","15,387"
State Representative District 036,"9,895","4,978","5,654",172,"20,699",461,256,399,4,"1,120","21,819"
State Representative District 037,"6,903","10,592","8,153",216,"25,864",303,477,509,15,"1,304","27,168"
State Representative District 038,"6,834","7,372","6,670",149,"21,025",335,392,480,11,"1,218","22,243"
State Representative District 039,"6,730","10,010","7,968",171,"24,879",339,455,486,5,"1,285","26,164"
State Representative District 040,"7,084","7,785","5,964",147,"20,980",352,386,399,6,"1,143","22,123"
State Representative District 041,"11,551","4,789","4,700",172,"21,212",889,400,801,25,"2,115","23,327"
State Representative District 042,"7,298","7,435","6,095",195,"21,023",494,579,666,8,"1,747","22,770"
State Representative District 043,"7,516","7,522","5,595",126,"20,759",480,450,556,4,"1,490","22,249"
State Representative District 044,"6,423","10,010","9,716",147,"26,296",563,946,"1,359",6,"2,874","29,170"
State Representative District 045,"7,634","5,308","7,246",265,"20,453","1,200",753,"1,739",33,"3,725","24,178"
State Representative District 046,"7,324","5,897","7,624",254,"21,099",891,713,"1,333",36,"2,973","24,072"
State Representative District 047,"5,882","7,011","7,658",101,"20,652",299,364,737,2,"1,402","22,054"
State Representative District 048,"5,474","7,715","7,360",95,"20,644",275,325,559,5,"1,164","21,808"
State Representative District 049,"4,778","7,632","7,605",155,"20,170",276,302,560,8,"1,146","21,316"
State Representative District 050,"3,905","9,112","6,992",63,"20,072",291,321,629,4,"1,245","21,317"
State Representative District 051,"5,175","6,568","8,050",30,"19,823",327,273,749,3,"1,352","21,175"
State Representative District 052,"6,025","5,579","8,690",54,"20,348",306,248,647,7,"1,208","21,556"
State Representative District 053,"6,689","4,763","8,479",51,"19,982",482,250,849,4,"1,585","21,567"
State Representative District 054,"4,086","8,767","7,244",44,"20,141",216,260,540,1,"1,017","21,158"
State Representative District 055,"5,911","6,702","6,914",67,"19,594",313,193,483,2,991,"20,585"
State Representative District 056,"5,041","7,307","7,093",54,"19,495",277,269,563,3,"1,112","20,607"
State Representative District 057,"7,919","6,582","8,023",76,"22,600",240,230,400,2,872,"23,472"
State Representative District 058,"7,036","5,342","8,868",48,"21,294",329,210,691,7,"1,237","22,531"
State Representative District 059,"6,504","5,681","7,856",176,"20,217",510,362,794,19,"1,685","21,902"
State Representative District 060,"6,523","7,499","7,518",118,"21,658",409,359,623,11,"1,402","23,060"
State Representative District 061,"7,357","4,094","6,421",116,"17,988",438,199,486,7,"1,130","19,118"
State Representative District 062,"8,740","2,589","5,906",134,"17,369",580,138,499,5,"1,222","18,591"
State Representative District 063,"5,155","6,793","8,964",75,"20,987",261,257,604,10,"1,132","22,119"
State Representative District 064,"5,463","4,792","8,276",57,"18,588",228,153,615,3,999,"19,587"
State Representative District 065,"8,440","4,005","5,457",175,"18,077","1,411",497,"1,293",29,"3,230","21,307"
State Representative District 066,"7,029","5,694","6,391",152,"19,266",984,579,"1,127",21,"2,711","21,977"
State Representative District 067,"6,124","7,167","7,576",145,"21,012",716,728,"1,105",15,"2,564","23,576"
State Representative District 068,"6,735","6,202","7,560",155,"20,652",726,605,"1,078",24,"2,433","23,085"
State Representative District 069,"7,099","3,896","6,788",157,"17,940","1,246",512,"1,356",25,"3,139","21,079"
State Representative District 070,"7,835","4,729","6,827",166,"19,557",996,497,"1,048",15,"2,556","22,113"
State Representative District 071,"5,676","5,146","6,289",56,"17,167",503,383,807,4,"1,697","18,864"
State Representative District 072,"5,294","6,589","8,036",65,"19,984",301,266,674,2,"1,243","21,227"
State Representative District 073,"6,430","6,321","7,547",111,"20,409",331,253,547,8,"1,139","21,548"
State Representative District 074,"9,619","4,160","5,503",168,"19,450","1,386",581,"1,291",23,"3,281","22,731"
State Representative District 075,"4,802","6,981","8,466",75,"20,324",284,247,676,3,"1,210","21,534"
State Representative District 076,"6,227","6,766","8,315",90,"21,398",942,341,950,11,"2,244","23,642"
State Representative District 077,"8,157","5,869","7,672",159,"21,857",812,601,"1,079",6,"2,498","24,355"
State Representative District 078,"4,787","7,923","6,757",101,"19,568",289,311,644,5,"1,249","20,817"
State Representative District 079,"3,631","10,314","6,057",90,"20,092",421,566,742,5,"1,734","21,826"
State Representative District 080,"5,548","7,099","6,577",60,"19,284",400,349,680,4,"1,433","20,717"
State Representative District 081,"7,444","4,495","5,628",71,"17,638",616,309,755,3,"1,683","19,321"
State Representative District 082,"6,485","6,701","5,693",115,"18,994",461,347,731,17,"1,556","20,550"
State Representative District 083,"8,075","3,515","6,572",90,"18,252",743,320,"1,010",5,"2,078","20,330"
State Representative District 084,"4,563","7,323","7,180",73,"19,139",460,425,877,3,"1,765","20,904"
State Representative District 085,"12,736","4,117","6,707",251,"23,811","2,792","1,371","3,414",66,"7,643","31,454"
State Representative District 086,"10,598","3,247","5,852",223,"19,920","2,069",919,"2,495",51,"5,534","25,454"
State Representative District 087,"8,440","4,347","6,423",104,"19,314",700,323,831,5,"1,859","21,173"
State Representative District 088,"5,662","6,478","7,054",71,"19,265",359,317,693,2,"1,371","20,636"
State Representative District 089,"7,413","4,736","8,266",127,"20,542",721,378,943,6,"2,048","22,590"
State Representative District 090,"8,019","2,996","7,384",159,"18,558",898,326,"1,078",12,"2,314","20,872"
State Representative District 091,"5,916","6,043","7,104",78,"19,141",640,570,"1,130",1,"2,341","21,482"
State Representative District 092,"6,021","6,242","8,537",123,"20,923",514,381,936,4,"1,835","22,758"
State Representative District 093,"7,387","6,452","7,922",138,"21,899",779,619,"1,186",17,"2,601","24,500"
State Representative District 094,"6,264","9,152","9,275",157,"24,848",616,719,"1,132",8,"2,475","27,323"
State Representative District 095,"6,216","6,344","7,806",103,"20,469",613,419,944,14,"1,990","22,459"
State Representative District 096,"4,401","6,538","8,026",44,"19,009",153,193,435,1,782,"19,791"
State Representative District 097,"5,712","6,962","9,208",98,"21,980",327,309,654,4,"1,294","23,274"
State Representative District 098,"6,649","4,189","7,975",66,"18,879",754,267,"1,014",7,"2,042","20,921"
State Representative District 099,"9,364","5,330","6,787",107,"21,588",680,409,816,11,"1,916","23,504"
State Representative District 100,"8,351","4,136","6,088",131,"18,706",831,341,882,16,"2,070","20,776"
Totals,"629,081","662,167","693,999","10,900","1,996,147","53,810","40,107","80,195",902,"175,014","2,171,161"
