State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 065,"8,166","3,948","5,171",148,"17,433","1,544",538,"1,411",30,"3,523","20,956"
State Representative District 066,"6,852","5,647","6,120",135,"18,754","1,077",626,"1,236",22,"2,961","21,715"
State Representative District 067,"5,979","7,059","7,341",130,"20,509",799,801,"1,201",16,"2,817","23,326"
State Representative District 068,"6,596","6,103","7,384",127,"20,210",822,652,"1,180",26,"2,680","22,890"
State Representative District 069,"6,890","3,748","6,498",132,"17,268","1,368",548,"1,504",29,"3,449","20,717"
State Representative District 070,"7,656","4,650","6,596",139,"19,041","1,108",545,"1,145",16,"2,814","21,855"
State Representative District 071,"5,583","5,104","6,193",38,"16,918",516,391,834,4,"1,745","18,663"
State Representative District 072,"5,255","6,519","7,972",47,"19,793",313,285,699,2,"1,299","21,092"
State Representative District 073,"6,343","6,208","7,367",84,"20,002",343,265,572,10,"1,190","21,192"
State Representative District 074,"9,295","4,079","5,160",137,"18,671","1,454",605,"1,404",24,"3,487","22,158"
State Representative District 075,"4,808","6,913","8,357",66,"20,144",307,262,709,3,"1,281","21,425"
State Representative District 076,"6,138","6,718","8,156",78,"21,090",984,353,991,11,"2,339","23,429"
State Representative District 077,"7,893","5,689","7,414",139,"21,135",893,637,"1,176",8,"2,714","23,849"
State Representative District 078,"4,752","7,882","6,623",90,"19,347",306,324,666,7,"1,303","20,650"
State Representative District 079,"3,576","10,215","5,840",76,"19,707",440,595,788,6,"1,829","21,536"
State Representative District 080,"5,525","6,988","6,489",47,"19,049",422,368,716,4,"1,510","20,559"
State Representative District 081,"7,435","4,395","5,492",60,"17,382",639,323,782,3,"1,747","19,129"
State Representative District 082,"6,398","6,612","5,610",100,"18,720",484,361,763,17,"1,625","20,345"
State Representative District 083,"8,045","3,420","6,407",75,"17,947",773,326,"1,044",4,"2,147","20,094"
State Representative District 084,"4,523","7,239","6,980",59,"18,801",482,449,904,3,"1,838","20,639"
State Representative District 085,"12,340","3,998","6,190",204,"22,732","2,990","1,451","3,655",75,"8,171","30,903"
State Representative District 086,"10,244","3,116","5,450",193,"19,003","2,216",969,"2,663",50,"5,898","24,901"
State Representative District 087,"8,383","4,275","6,343",86,"19,087",730,330,861,7,"1,928","21,015"
State Representative District 088,"5,619","6,413","6,931",54,"19,017",372,331,718,3,"1,424","20,441"
State Representative District 089,"7,354","4,691","8,151",112,"20,308",741,387,986,6,"2,120","22,428"
State Representative District 090,"7,961","2,936","7,230",142,"18,269",916,332,"1,121",14,"2,383","20,652"
State Representative District 091,"5,871","5,982","6,930",58,"18,841",676,595,"1,173",1,"2,445","21,286"
State Representative District 092,"5,970","6,186","8,400",106,"20,662",536,391,970,5,"1,902","22,564"
State Representative District 093,"7,344","6,384","7,729",121,"21,578",817,637,"1,228",16,"2,698","24,276"
State Representative District 094,"6,184","9,061","9,022",140,"24,407",641,744,"1,186",10,"2,581","26,988"
State Representative District 095,"6,150","6,247","7,648",86,"20,131",664,468,991,16,"2,139","22,270"
State Representative District 096,"4,389","6,480","7,908",34,"18,811",167,199,460,1,827,"19,638"
State Representative District 097,"5,690","6,881","9,052",83,"21,706",341,310,683,4,"1,338","23,044"
State Representative District 098,"6,612","4,138","7,860",47,"18,657",784,278,"1,046",6,"2,114","20,771"
State Representative District 099,"9,187","5,175","6,794",98,"21,254",699,420,839,11,"1,969","23,223"
State Representative District 100,"8,180","3,902","6,119",111,"18,312",833,344,870,16,"2,063","20,375"
Totals,"618,785","652,545","678,889","9,121","1,959,340","57,076","42,174","84,530",951,"184,731","2,144,071"
