State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 027,"4,514","6,763","6,161",101,"17,539",227,224,397,8,856,"18,395"
State Representative District 028,"4,967","7,474","7,217",93,"19,751",160,201,356,3,720,"20,471"
State Representative District 029,"7,241","5,878","7,745",114,"20,978",192,137,309,2,640,"21,618"
State Representative District 030,"7,381","8,268","8,139",256,"24,044",126,142,237,8,513,"24,557"
State Representative District 031,"7,823","4,647","5,816",192,"18,478",183,109,193,7,492,"18,970"
State Representative District 032,"8,151","2,579","4,826",211,"15,767",277,64,188,6,535,"16,302"
State Representative District 033,"8,577","3,187","5,358",202,"17,324",251,86,176,7,520,"17,844"
State Representative District 034,"9,716","3,516","5,796",230,"19,258",410,166,315,12,903,"20,161"
State Representative District 035,"7,645","2,045","4,117",202,"14,009",353,91,278,10,732,"14,741"
State Representative District 036,"10,127","4,357","6,000",255,"20,739",306,136,217,4,663,"21,402"
State Representative District 037,"7,844","10,703","9,801",307,"28,655",184,309,290,16,799,"29,454"
State Representative District 038,"7,296","7,592","7,694",236,"22,818",220,195,227,15,657,"23,475"
State Representative District 039,"7,534","9,765","9,157",264,"26,720",219,307,309,20,855,"27,575"
State Representative District 040,"7,365","7,109","6,281",215,"20,970",202,175,190,6,573,"21,543"
State Representative District 041,"12,121","4,087","4,840",243,"21,291",565,230,413,21,"1,229","22,520"
State Representative District 042,"7,651","6,863","6,437",263,"21,214",316,239,346,7,908,"22,122"
State Representative District 043,"7,986","6,880","5,868",188,"20,922",291,213,259,7,770,"21,692"
State Representative District 044,"7,830","10,269","11,890",305,"30,294",335,526,725,19,"1,605","31,899"
State Representative District 045,"8,064","5,066","8,168",364,"21,662",696,409,891,34,"2,030","23,692"
State Representative District 046,"7,524","5,426","8,465",300,"21,715",723,485,"1,071",40,"2,319","24,034"
State Representative District 047,"5,798","6,931","7,808",173,"20,710",185,213,472,7,877,"21,587"
State Representative District 048,"5,361","7,647","7,865",147,"21,020",149,178,348,6,681,"21,701"
State Representative District 049,"4,921","7,647","7,980",223,"20,771",154,190,284,8,636,"21,407"
State Representative District 050,"3,927","8,995","7,060",102,"20,084",106,221,279,3,609,"20,693"
State Representative District 051,"4,878","6,545","8,257",76,"19,756",176,134,385,2,697,"20,453"
State Representative District 052,"5,564","5,461","8,750",82,"19,857",253,184,507,6,950,"20,807"
State Representative District 053,"6,362","4,526","8,735",81,"19,704",241,173,488,8,910,"20,614"
State Representative District 054,"3,977","8,376","7,455",97,"19,905",128,190,329,0,647,"20,552"
State Representative District 055,"5,879","6,532","7,252",90,"19,753",319,168,501,10,998,"20,751"
State Representative District 056,"4,775","7,269","7,223",89,"19,356",212,195,394,5,806,"20,162"
State Representative District 057,"7,923","6,735","8,463",129,"23,250",117,151,252,0,520,"23,770"
State Representative District 058,"6,673","5,310","9,392",59,"21,434",188,126,385,4,703,"22,137"
State Representative District 059,"6,529","5,322","8,032",231,"20,114",461,366,823,16,"1,666","21,780"
State Representative District 060,"6,804","7,166","7,954",185,"22,109",344,377,504,13,"1,238","23,347"
State Representative District 061,"7,049","3,940","6,460",191,"17,640",447,177,433,15,"1,072","18,712"
State Representative District 062,"8,249","2,506","5,787",193,"16,735",472,117,386,6,981,"17,716"
State Representative District 063,"5,092","6,607","9,191",132,"21,022",207,200,460,10,877,"21,899"
State Representative District 064,"5,181","4,678","8,488",86,"18,433",157,83,390,5,635,"19,068"
State Representative District 065,"9,117","3,985","6,231",273,"19,606",308,119,276,16,719,"20,325"
State Representative District 066,"7,555","5,565","7,228",228,"20,576",239,135,257,10,641,"21,217"
State Representative District 067,"6,681","7,269","8,494",235,"22,679",165,200,278,6,649,"23,328"
State Representative District 068,"7,153","6,243","8,561",258,"22,215",177,152,272,12,613,"22,828"
State Representative District 069,"7,738","4,299","7,818",277,"20,132",262,126,308,10,706,"20,838"
State Representative District 070,"8,324","4,744","7,522",252,"20,842",232,126,261,13,632,"21,474"
State Representative District 071,"5,601","4,815","6,067",132,"16,615",287,196,477,6,966,"17,581"
State Representative District 072,"5,091","6,515","8,300",109,"20,015",155,135,320,3,613,"20,628"
State Representative District 073,"6,538","6,260","8,099",138,"21,035",148,142,290,7,587,"21,622"
State Representative District 074,"10,200","3,854","6,496",199,"20,749",675,227,499,17,"1,418","22,167"
State Representative District 075,"4,662","6,779","8,777",122,"20,340",163,168,345,7,683,"21,023"
State Representative District 076,"6,071","6,836","8,678",134,"21,719",282,171,429,5,887,"22,606"
State Representative District 077,"8,812","5,907","9,024",205,"23,948",278,264,402,19,963,"24,911"
State Representative District 078,"4,667","7,591","7,083",137,"19,478",174,212,380,5,771,"20,249"
State Representative District 079,"3,356","10,212","6,136",136,"19,840",267,357,512,9,"1,145","20,985"
State Representative District 080,"5,168","7,254","6,606",101,"19,129",232,224,511,7,974,"20,103"
State Representative District 081,"6,941","4,416","5,628",83,"17,068",367,190,504,3,"1,064","18,132"
State Representative District 082,"6,584","6,426","5,810",140,"18,960",308,189,423,14,934,"19,894"
State Representative District 083,"7,559","3,605","6,735",128,"18,027",377,191,612,11,"1,191","19,218"
State Representative District 084,"4,286","7,210","7,227",105,"18,828",231,259,516,7,"1,013","19,841"
State Representative District 085,"12,836","3,836","7,534",267,"24,473","1,169",511,"1,118",32,"2,830","27,303"
State Representative District 086,"10,707","3,064","6,892",257,"20,920","1,123",358,"1,014",32,"2,527","23,447"
State Representative District 087,"8,098","4,301","6,628",154,"19,181",442,192,556,12,"1,202","20,383"
State Representative District 088,"5,523","6,378","7,523",94,"19,518",171,158,331,7,667,"20,185"
State Representative District 089,"7,178","4,474","8,703",172,"20,527",495,225,599,13,"1,332","21,859"
State Representative District 090,"7,246","2,829","7,627",194,"17,896",882,256,"1,019",27,"2,184","20,080"
State Representative District 091,"5,746","5,831","7,540",118,"19,235",299,229,474,5,"1,007","20,242"
State Representative District 092,"5,815","5,965","9,029",155,"20,964",397,289,611,11,"1,308","22,272"
State Representative District 093,"7,142","6,070","8,572",187,"21,971",517,370,764,21,"1,672","23,643"
State Representative District 094,"6,400","8,807","10,221",172,"25,600",384,506,733,19,"1,642","27,242"
State Representative District 095,"6,392","6,493","8,619",169,"21,673",163,117,234,4,518,"22,191"
State Representative District 096,"4,169","6,580","8,222",80,"19,051",126,128,337,5,596,"19,647"
State Representative District 097,"5,488","6,975","9,581",119,"22,163",212,246,469,1,928,"23,091"
State Representative District 098,"6,160","4,120","8,182",93,"18,555",373,139,606,12,"1,130","19,685"
State Representative District 099,"9,423","5,067","7,003",192,"21,685",475,254,537,16,"1,282","22,967"
State Representative District 100,"8,027","4,026","6,626",180,"18,859",505,278,552,15,"1,350","20,209"
