State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 087,4361,6272,75,3567,27,14302,1736,1701,62,3336,31,6866,21168
State Representative District 088,2831,7863,85,3455,10,14244,1322,2162,76,3185,13,6758,21002
State Representative District 089,7905,1489,62,3540,40,13036,4054,1119,106,3791,41,9111,22147
State Representative District 090,10031,1945,76,3768,31,15851,3601,1069,61,2947,26,7704,23555
State Representative District 091,5381,7199,102,5972,17,18671,1386,1421,60,3191,17,6075,24746
State Representative District 092,4254,6468,71,4076,17,14886,1376,1625,80,3142,16,6239,21125
State Representative District 093,4958,7082,95,6182,20,18337,1716,1783,74,3614,13,7200,25537
State Representative District 094,4931,6099,78,5645,24,16777,1923,1538,90,3746,24,7321,24098
State Representative District 095,3448,7313,74,4609,7,15451,1672,1849,67,3796,13,7397,22848
State Representative District 096,3658,5074,71,3772,26,12601,2402,1683,88,4175,45,8393,20994
State Representative District 097,5070,2999,90,3895,22,12076,3488,1357,116,4891,29,9881,21957
State Representative District 098,4401,3417,87,4241,21,12167,3262,1474,113,5088,50,9987,22154
State Representative District 099,5332,4522,93,4065,24,14036,2803,1616,83,4014,28,8544,22580
State Representative District 100,5038,4512,75,4071,9,13705,2233,1430,74,3756,25,7518,21223
Totals,"471,010","594,533","8,550","442,290","1,827","1,518,210","192,482","157,715","7,272","325,638","2,397","685,504","2,203,714"
