State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 052,"5,651","5,463",47,"8,736",19,"19,916",315,215,7,616,1,"1,154","21,070"
State Representative District 053,"6,395","4,638",41,"8,698",15,"19,787",317,179,2,615,3,"1,116","20,903"
State Representative District 054,"3,876","8,553",48,"7,457",11,"19,945",180,235,0,415,1,831,"20,776"
State Representative District 055,"5,487","6,559",49,"7,002",25,"19,122",357,184,4,554,4,"1,103","20,225"
State Representative District 056,"4,759","7,237",53,"7,160",12,"19,221",291,253,2,568,1,"1,115","20,336"
State Representative District 057,"7,698","6,638",83,"8,395",13,"22,827",165,159,0,307,1,632,"23,459"
State Representative District 058,"6,628","5,252",37,"9,208",13,"21,138",253,173,2,530,1,959,"22,097"
State Representative District 059,"6,054","5,484",124,"7,810",34,"19,506",552,355,19,956,5,"1,887","21,393"
State Representative District 060,"6,358","7,237",90,"7,792",38,"21,515",396,392,9,596,4,"1,397","22,912"
State Representative District 061,"6,939","3,982",81,"6,489",43,"17,534",497,205,12,486,5,"1,205","18,739"
State Representative District 062,"8,260","2,521",101,"5,926",48,"16,856",601,145,4,514,2,"1,266","18,122"
State Representative District 063,"4,888","6,692",69,"9,175",15,"20,839",244,217,6,558,1,"1,026","21,865"
State Representative District 064,"5,154","4,729",50,"8,474",13,"18,420",190,98,2,491,2,783,"19,203"
State Representative District 065,"8,683","4,077",159,"6,034",70,"19,023",586,210,11,584,3,"1,394","20,417"
State Representative District 066,"7,194","5,720",151,"7,065",53,"20,183",391,229,11,474,5,"1,110","21,293"
State Representative District 067,"6,189","7,335",144,"8,230",37,"21,935",304,322,6,525,1,"1,158","23,093"
State Representative District 068,"6,758","6,327",171,"8,282",45,"21,583",317,244,11,501,5,"1,078","22,661"
State Representative District 069,"7,352","4,193",169,"7,598",60,"19,372",495,181,12,556,4,"1,248","20,620"
State Representative District 070,"7,974","4,817",182,"7,441",41,"20,455",455,206,8,522,4,"1,195","21,650"
State Representative District 071,"5,371","4,909",47,"6,343",21,"16,691",302,197,4,507,0,"1,010","17,701"
State Representative District 072,"4,993","6,496",58,"8,367",16,"19,930",233,172,2,485,0,892,"20,822"
State Representative District 073,"6,219","6,285",84,"7,935",21,"20,544",237,177,6,395,5,820,"21,364"
State Representative District 074,"9,107","3,960",127,"6,013",46,"19,253","1,145",444,21,929,10,"2,549","21,802"
State Representative District 075,"4,585","6,862",73,"8,783",17,"20,320",194,206,4,499,0,903,"21,223"
State Representative District 076,"5,840","6,677",77,"8,484",17,"21,095",758,228,8,799,4,"1,797","22,892"
State Representative District 077,"8,133","5,909",147,"8,426",33,"22,648",670,487,9,857,3,"2,026","24,674"
State Representative District 078,"4,517","7,794",77,"6,960",27,"19,375",240,249,4,496,1,990,"20,365"
State Representative District 079,"3,329","10,092",83,"6,197",16,"19,717",348,457,6,640,0,"1,451","21,168"
State Representative District 080,"5,189","7,098",57,"6,717",15,"19,076",330,257,4,625,1,"1,217","20,293"
State Representative District 081,"6,922","4,406",49,"5,694",33,"17,104",490,233,1,670,0,"1,394","18,498"
State Representative District 082,"6,230","6,558",69,"5,861",59,"18,777",380,242,11,552,10,"1,195","19,972"
State Representative District 083,"7,671","3,515",76,"6,703",20,"17,985",523,245,9,828,2,"1,607","19,592"
State Representative District 084,"4,238","7,126",66,"7,190",14,"18,634",326,314,4,719,2,"1,365","19,999"
State Representative District 085,"12,282","3,889",183,"7,169",68,"23,591","2,118","1,064",41,"2,675",21,"5,919","29,510"
State Representative District 086,"9,886","3,104",154,"6,333",67,"19,544","1,871",732,29,"2,015",17,"4,664","24,208"
State Representative District 087,"8,073","4,273",88,"6,567",37,"19,038",656,262,6,742,4,"1,670","20,708"
State Representative District 088,"5,434","6,379",57,"7,366",16,"19,252",237,229,3,487,1,957,"20,209"
State Representative District 089,"7,031","4,553",100,"8,599",34,"20,317",591,290,7,756,4,"1,648","21,965"
State Representative District 090,"7,313","2,816",129,"7,682",45,"17,985",960,298,20,"1,124",4,"2,406","20,391"
State Representative District 091,"5,691","5,908",60,"7,436",33,"19,128",438,310,4,740,0,"1,492","20,620"
State Representative District 092,"5,769","6,050",108,"8,864",33,"20,824",396,302,4,684,4,"1,390","22,214"
State Representative District 093,"6,988","6,258",121,"8,421",38,"21,826",611,444,13,958,6,"2,032","23,858"
State Representative District 094,"6,017","8,867",132,"9,845",35,"24,896",509,611,17,909,1,"2,047","26,943"
State Representative District 095,"6,070","6,424",103,"8,338",24,"20,959",259,184,5,404,2,854,"21,813"
State Representative District 096,"4,153","6,426",41,"8,306",13,"18,939",164,140,4,439,2,749,"19,688"
State Representative District 097,"5,447","6,812",79,"9,546",21,"21,905",249,259,5,513,0,"1,026","22,931"
State Representative District 098,"6,277","4,077",43,"8,191",28,"18,616",445,166,5,674,3,"1,293","19,909"
State Representative District 099,"8,868","5,221",98,"7,031",32,"21,250",582,309,8,613,4,"1,516","22,766"
State Representative District 100,"7,936","4,037",105,"6,369",43,"18,490",676,314,10,768,8,"1,776","20,266"
Totals,"603,672","652,472","9,684","724,541","2,961","1,993,330","42,141","30,228",768,"62,727",281,"136,145","2,129,475"
