State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 040,6769,6495,171,6182,36,19653,555,459,22,1013,7,2056,21709
State Representative District 041,6989,7953,191,7507,32,22672,478,542,25,837,7,1889,24561
State Representative District 042,6614,7131,174,6571,23,20513,504,568,32,875,12,1991,22504
State Representative District 043,7277,7414,155,6133,26,21005,563,480,22,772,7,1844,22849
State Representative District 044,7913,6651,148,5525,29,20266,655,442,34,912,7,2050,22316
State Representative District 045,5687,8822,180,6991,25,21705,367,396,20,753,4,1540,23245
State Representative District 046,6061,7784,160,7794,21,21820,449,483,23,939,3,1897,23717
State Representative District 047,4958,8018,136,6389,28,19529,563,561,21,1472,3,2620,22149
State Representative District 048,6059,7519,156,7159,32,20925,616,583,32,1588,9,2828,23753
State Representative District 049,6131,3108,134,5307,51,14731,2070,1380,106,2756,22,6334,21065
State Representative District 050,8049,4341,173,6108,45,18716,1378,673,52,1480,12,3595,22311
State Representative District 051,5375,8327,185,7226,40,21153,449,550,34,1249,12,2294,23447
State Representative District 052,5336,5191,91,4599,20,15237,868,483,22,1565,12,2950,18187
State Representative District 053,5810,6494,99,6870,28,19301,1220,476,16,1617,3,3332,22633
State Representative District 054,4193,10112,97,5770,23,20195,475,644,20,1303,4,2446,22641
State Representative District 055,4383,9012,113,5744,21,19273,460,603,20,1273,5,2361,21634
State Representative District 056,3669,9485,77,5790,19,19040,418,637,14,1236,13,2318,21358
State Representative District 057,4682,8515,98,7004,24,20323,494,520,13,1294,1,2322,22645
State Representative District 058,4985,7132,82,7199,20,19418,606,439,22,1678,8,2753,22171
State Representative District 059,6435,5547,91,7174,33,19280,744,447,19,1760,12,2982,22262
State Representative District 060,4846,8559,97,7238,29,20769,472,554,18,1422,11,2477,23246
State Representative District 061,7159,4724,123,5193,28,17227,1164,446,27,1301,9,2947,20174
State Representative District 062,7407,2816,102,4688,49,15062,1588,347,32,1585,18,3570,18632
State Representative District 063,6000,7128,80,7122,16,20346,654,376,14,1195,16,2255,22601
State Representative District 064,4896,8624,95,6336,24,19975,481,622,17,1267,7,2394,22369
State Representative District 065,6929,7936,95,6648,20,21628,492,457,17,846,7,1819,23447
State Representative District 066,5375,7614,84,7140,11,20224,459,448,11,1550,4,2472,22696
State Representative District 067,4830,7728,86,7625,16,20285,409,384,11,1202,9,2015,22300
State Representative District 068,4926,6656,76,6576,19,18253,458,405,22,1357,9,2251,20504
State Representative District 069,6154,5664,95,6991,32,18936,1020,511,34,2084,11,3660,22596
State Representative District 070,5464,7727,90,7422,34,20737,611,457,18,1624,12,2722,23459
State Representative District 071,7870,4650,173,5289,40,18022,1318,590,44,1580,13,3545,21567
State Representative District 072,8199,5799,144,5607,39,19788,841,470,36,1116,13,2476,22264
State Representative District 073,6981,6763,155,7098,34,21031,567,499,29,1024,1,2120,23151
State Representative District 074,7582,5094,171,6397,34,19278,826,501,43,1213,17,2600,21878
State Representative District 075,7038,5595,130,6226,34,19023,902,533,27,1329,9,2800,21823
State Representative District 076,5926,7382,132,7027,27,20494,619,512,19,1203,11,2364,22858
State Representative District 077,6806,3852,160,5771,61,16650,956,429,34,1348,19,2786,19436
State Representative District 078,8716,3594,178,5079,50,17617,1430,564,41,1450,25,3510,21127
State Representative District 079,7901,4456,150,6111,46,18664,917,450,42,1296,13,2718,21382
State Representative District 080,7304,6381,158,6504,44,20391,794,497,33,1159,15,2498,22889
State Representative District 081,6575,4993,136,6651,39,18394,1244,579,33,2208,12,4076,22470
State Representative District 082,5168,7279,113,6792,30,19382,557,511,22,1377,10,2477,21859
State Representative District 083,6873,7525,148,7451,19,22016,606,418,23,1119,7,2173,24189
State Representative District 084,5186,7624,140,7695,22,20667,459,427,13,1407,8,2314,22981
State Representative District 085,9087,4505,159,6753,23,20527,985,528,32,1269,10,2824,23351
State Representative District 086,9963,2850,104,5659,35,18611,1715,525,25,1392,14,3671,22282
State Representative District 087,5490,7449,105,5004,43,18091,824,670,29,1529,18,3070,21161
State Representative District 088,3706,9374,138,5163,14,18395,576,676,18,1390,8,2668,21063
State Representative District 089,10050,2015,110,5252,63,17490,2160,589,56,1793,17,4615,22105
State Representative District 090,11856,2466,91,5082,46,19541,1983,541,34,1316,12,3886,23427
State Representative District 091,6301,8135,122,7447,27,22032,560,501,24,1258,7,2350,24382
State Representative District 092,5214,7542,125,5796,22,18699,529,584,26,1309,10,2458,21157
State Representative District 093,6108,8045,132,7822,24,22131,715,735,30,1537,6,3023,25154
State Representative District 094,6188,7081,120,7301,33,20723,820,641,42,1652,13,3168,23891
State Representative District 095,4635,8565,109,6411,17,19737,684,613,25,1666,4,2992,22729
State Representative District 096,5155,6082,111,5827,49,17224,1045,692,37,1906,18,3698,20922
State Representative District 097,7030,3729,153,5875,36,16823,1695,640,41,2426,15,4817,21640
State Representative District 098,6369,4304,147,6424,50,17294,1519,626,54,2473,21,4693,21987
State Representative District 099,7135,5487,139,5787,38,18586,1280,642,34,1821,11,3788,22374
State Representative District 100,6532,5430,115,5759,25,17861,967,484,31,1755,9,3246,21107
Totals,"599,745","695,238","12,557","598,624","3,077","1,909,241","81,216","57,421","2,877","137,507","1,062","280,083","2,189,324"
