State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 036,"8,941","4,904","5,995",132,"19,972",402,224,378,3,"1,007","20,979"
State Representative District 037,"5,851","9,445","7,973",134,"23,403",273,368,445,12,"1,098","24,501"
State Representative District 038,"6,236","6,748","6,674",107,"19,765",340,337,475,4,"1,156","20,921"
State Representative District 039,"5,754","9,146","8,038",114,"23,052",274,365,427,4,"1,070","24,122"
State Representative District 040,"6,213","7,405","6,238",92,"19,948",362,385,417,6,"1,170","21,118"
State Representative District 041,"9,744","4,781","5,462",149,"20,136",630,312,622,14,"1,578","21,714"
State Representative District 042,"6,227","7,096","6,596",131,"20,050",455,476,643,9,"1,583","21,633"
State Representative District 043,"6,711","7,448","5,984",85,"20,228",433,386,488,3,"1,310","21,538"
State Representative District 044,"4,771","8,517","9,946",94,"23,328",563,879,"1,292",4,"2,738","26,066"
State Representative District 045,"5,657","4,473","6,988",166,"17,284","1,251",738,"1,785",26,"3,800","21,084"
State Representative District 046,"5,370","4,646","7,095",147,"17,258",757,571,"1,176",31,"2,535","19,793"
State Representative District 047,"5,732","6,264","7,915",57,"19,968",322,357,755,3,"1,437","21,405"
State Representative District 048,"5,344","6,861","7,861",69,"20,135",281,320,580,3,"1,184","21,319"
State Representative District 049,"4,447","7,179","7,919",96,"19,641",240,258,483,9,990,"20,631"
State Representative District 050,"3,736","8,761","7,163",40,"19,700",297,336,649,4,"1,286","20,986"
State Representative District 051,"5,147","6,023","8,119",19,"19,308",346,275,750,3,"1,374","20,682"
State Representative District 052,"6,063","5,081","8,938",29,"20,111",307,220,634,4,"1,165","21,276"
State Representative District 053,"6,570","4,345","8,515",37,"19,467",467,261,848,3,"1,579","21,046"
State Representative District 054,"3,945","8,289","7,661",24,"19,919",229,247,532,2,"1,010","20,929"
State Representative District 055,"5,031","6,325","7,065",46,"18,467",325,194,445,3,967,"19,434"
State Representative District 056,"4,819","6,914","7,424",40,"19,197",249,239,484,2,974,"20,171"
State Representative District 057,"7,352","6,057","8,436",49,"21,894",217,201,387,2,807,"22,701"
State Representative District 058,"7,021","4,706","9,010",29,"20,766",351,212,696,4,"1,263","22,029"
State Representative District 059,"5,320","5,044","7,904",136,"18,404",539,348,816,18,"1,721","20,125"
State Representative District 060,"5,825","6,938","7,881",89,"20,733",394,318,581,11,"1,304","22,037"
State Representative District 061,"7,036","3,858","6,773",76,"17,743",396,185,486,4,"1,071","18,814"
State Representative District 062,"8,370","2,345","6,287",83,"17,085",587,125,471,4,"1,187","18,272"
State Representative District 063,"4,630","6,279","9,413",52,"20,374",261,222,571,4,"1,058","21,432"
State Representative District 064,"5,335","4,443","8,415",36,"18,229",247,153,588,3,991,"19,220"
State Representative District 065,"7,812","4,019","5,997",134,"17,962","1,041",362,971,13,"2,387","20,349"
State Representative District 066,"6,496","5,729","7,007",102,"19,334",726,387,861,12,"1,986","21,320"
State Representative District 067,"5,569","6,875","8,086",107,"20,637",492,492,816,6,"1,806","22,443"
State Representative District 068,"6,276","6,000","7,997",116,"20,389",541,463,831,18,"1,853","22,242"
State Representative District 069,"6,862","3,640","7,081",111,"17,694",928,360,"1,053",13,"2,354","20,048"
State Representative District 070,"7,607","4,644","7,264",91,"19,606",762,341,795,4,"1,902","21,508"
State Representative District 071,"5,220","4,917","6,518",28,"16,683",515,384,825,2,"1,726","18,409"
State Representative District 072,"5,188","6,161","8,261",35,"19,645",301,260,653,0,"1,214","20,859"
State Representative District 073,"6,110","5,849","7,735",57,"19,751",309,242,507,6,"1,064","20,815"
State Representative District 074,"8,267","3,998","6,001",113,"18,379","1,186",502,"1,159",15,"2,862","21,241"
State Representative District 075,"4,886","5,909","8,951",46,"19,792",317,222,707,3,"1,249","21,041"
State Representative District 076,"5,512","6,508","8,837",72,"20,929",649,287,746,5,"1,687","22,616"
State Representative District 077,"7,005","5,101","7,641",103,"19,850","1,033",679,"1,237",8,"2,957","22,807"
State Representative District 078,"4,633","7,161","7,212",57,"19,063",296,286,659,4,"1,245","20,308"
State Representative District 079,"3,488","9,089","6,545",68,"19,190",433,548,720,5,"1,706","20,896"
State Representative District 080,"5,640","6,386","6,784",39,"18,849",408,340,716,3,"1,467","20,316"
State Representative District 081,"7,336","4,085","5,815",31,"17,267",636,301,752,3,"1,692","18,959"
State Representative District 082,"5,821","6,348","6,015",99,"18,283",438,339,778,14,"1,569","19,852"
State Representative District 083,"8,010","3,150","6,679",45,"17,884",689,288,970,3,"1,950","19,834"
State Representative District 084,"4,258","7,001","7,245",35,"18,539",463,394,890,3,"1,750","20,289"
State Representative District 085,"10,545","3,788","8,485",236,"23,054","1,917",825,"2,122",42,"4,906","27,960"
State Representative District 086,"8,869","2,878","6,628",165,"18,540","1,707",781,"2,128",45,"4,661","23,201"
State Representative District 087,"8,342","3,889","6,497",55,"18,783",712,307,813,5,"1,837","20,620"
State Representative District 088,"5,572","5,940","7,085",39,"18,636",359,307,691,2,"1,359","19,995"
State Representative District 089,"6,972","4,440","8,495",84,"19,991",646,316,881,3,"1,846","21,837"
State Representative District 090,"7,464","2,659","7,202",119,"17,444",903,307,"1,076",7,"2,293","19,737"
State Representative District 091,"5,418","5,796","7,444",36,"18,694",543,497,"1,004",2,"2,046","20,740"
State Representative District 092,"5,673","5,726","8,679",91,"20,169",535,357,904,4,"1,800","21,969"
State Representative District 093,"6,627","6,106","8,191",111,"21,035",702,528,"1,025",10,"2,265","23,300"
State Representative District 094,"5,520","8,403","9,608",125,"23,656",530,619,977,8,"2,134","25,790"
State Representative District 095,"5,919","6,092","8,232",96,"20,339",499,298,739,11,"1,547","21,886"
State Representative District 096,"4,388","5,758","8,454",19,"18,619",164,184,435,1,784,"19,403"
State Representative District 097,"5,575","6,311","9,227",63,"21,176",328,266,666,5,"1,265","22,441"
State Representative District 098,"6,340","3,842","7,995",39,"18,216",820,273,"1,067",5,"2,165","20,381"
State Representative District 099,"8,550","4,917","7,147",90,"20,704",647,379,808,10,"1,844","22,548"
State Representative District 100,"7,697","3,593","6,260",82,"17,632",810,324,847,11,"1,992","19,624"
Totals,"583,784","609,853","717,146","7,191","1,917,974","49,631","36,168","75,058",668,"161,525","2,079,499"
