State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 083,"8,004","3,592","6,677",100,"18,373",479,221,679,7,"1,386","19,759"
State Representative District 084,"4,481","7,335","7,262",76,"19,154",241,256,472,4,973,"20,127"
State Representative District 085,"12,667","4,208","7,371",264,"24,510","1,801",822,"2,127",45,"4,795","29,305"
State Representative District 086,"10,547","3,334","6,479",233,"20,593","1,440",601,"1,610",33,"3,684","24,277"
State Representative District 087,"8,351","4,275","6,463",114,"19,203",485,254,572,5,"1,316","20,519"
State Representative District 088,"5,628","6,485","7,279",70,"19,462",253,280,545,4,"1,082","20,544"
State Representative District 089,"7,403","4,730","8,416",133,"20,682",413,226,525,8,"1,172","21,854"
State Representative District 090,"7,928","2,984","7,660",173,"18,745",477,195,601,16,"1,289","20,034"
State Representative District 091,"5,927","6,011","7,264",82,"19,284",607,602,"1,115",2,"2,326","21,610"
State Representative District 092,"6,052","6,206","8,666",127,"21,051",245,231,462,4,942,"21,993"
State Representative District 093,"7,300","6,455","8,195",144,"22,094",443,365,685,15,"1,508","23,602"
State Representative District 094,"6,221","9,080","9,461",155,"24,917",401,493,687,14,"1,595","26,512"
State Representative District 095,"6,248","6,457","8,135",118,"20,958",213,174,331,4,722,"21,680"
State Representative District 096,"4,322","6,547","8,151",49,"19,069",124,119,337,4,584,"19,653"
State Representative District 097,"5,640","6,926","9,305",99,"21,970",186,206,383,4,779,"22,749"
State Representative District 098,"6,574","4,160","8,075",73,"18,882",310,157,453,4,924,"19,806"
State Representative District 099,"9,261","5,339","6,876",121,"21,597",425,268,456,9,"1,158","22,755"
State Representative District 100,"8,282","4,163","6,289",145,"18,879",498,216,506,13,"1,233","20,112"
Totals,"626,687","665,242","715,382","11,934","2,019,245","33,255","26,852","48,462",804,"109,373","2,128,618"
