State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 039,7000,4982,4879,185,17046,1032,491,1326,34,2883,19929
State Representative District 040,6786,6495,6128,205,19614,673,560,1185,30,2448,22062
State Representative District 041,7002,7959,7365,219,22545,608,706,1020,40,2374,24919
State Representative District 042,6627,7133,6477,196,20433,619,724,1053,49,2445,22878
State Representative District 043,7283,7430,6048,179,20940,701,610,938,40,2289,23229
State Representative District 044,7936,6663,5462,175,20236,802,559,1081,50,2492,22728
State Representative District 045,5686,8800,6931,206,21623,431,499,852,28,1810,23433
State Representative District 046,6055,7741,7627,181,21604,535,616,1116,31,2298,23902
State Representative District 047,4938,7954,6238,159,19289,672,694,1754,36,3156,22445
State Representative District 048,6077,7479,7055,181,20792,752,781,1982,61,3576,24368
State Representative District 049,6192,3122,5313,185,14812,2455,1632,3277,158,7522,22334
State Representative District 050,8098,4349,6080,217,18744,1752,856,1898,87,4593,23337
State Representative District 051,5391,8321,7155,230,21097,538,680,1441,52,2711,23808
State Representative District 052,5370,5185,4517,111,15183,1000,608,1847,42,3497,18680
State Representative District 053,5828,6501,6823,124,19276,1612,560,1920,26,4118,23394
State Representative District 054,4207,10056,5675,116,20054,562,769,1528,28,2887,22941
State Representative District 055,4404,9009,5651,132,19196,544,710,1467,28,2749,21945
State Representative District 056,3685,9483,5728,95,18991,499,751,1424,33,2707,21698
State Representative District 057,4701,8490,6903,121,20215,592,619,1517,20,2748,22963
State Representative District 058,5013,7126,7125,99,19363,789,575,2013,36,3413,22776
State Representative District 059,6401,5494,7037,120,19052,922,581,2189,32,3724,22776
State Representative District 060,4854,8521,7140,123,20638,603,744,1769,34,3150,23788
State Representative District 061,7183,4731,5135,150,17199,1341,546,1510,41,3438,20637
State Representative District 062,7406,2815,4626,148,14995,1845,407,1789,60,4101,19096
State Representative District 063,6030,7134,7083,95,20342,887,469,1508,36,2900,23242
State Representative District 064,4894,8580,6250,114,19838,582,750,1473,25,2830,22668
State Representative District 065,6963,7926,6590,115,21594,588,575,1046,27,2236,23830
State Representative District 066,5403,7610,7100,92,20205,522,530,1734,18,2804,23009
State Representative District 067,4851,7725,7580,101,20257,473,461,1416,25,2375,22632
State Representative District 068,4944,6644,6477,92,18157,551,490,1597,34,2672,20829
State Representative District 069,6152,5657,6869,126,18804,1272,630,2502,51,4455,23259
State Representative District 070,5482,7694,7328,123,20627,751,606,1911,33,3301,23928
State Representative District 071,7886,4646,5194,211,17937,1706,798,2039,64,4607,22544
State Representative District 072,8231,5800,5553,181,19765,1058,597,1423,60,3138,22903
State Representative District 073,7012,6762,7024,190,20988,694,648,1247,36,2625,23613
State Representative District 074,7610,5108,6326,208,19252,1025,638,1429,71,3163,22415
State Representative District 075,7055,5579,6165,155,18954,1092,668,1647,44,3451,22405
State Representative District 076,5921,7340,6908,151,20320,747,626,1420,36,2829,23149
State Representative District 077,6822,3858,5713,222,16615,1128,527,1581,67,3303,19918
State Representative District 078,8741,3615,5028,229,17613,1733,695,1709,83,4220,21833
State Representative District 079,7928,4454,6075,197,18654,1112,553,1477,70,3212,21866
State Representative District 080,7330,6387,6435,202,20354,971,663,1389,55,3078,23432
State Representative District 081,6548,4958,6516,170,18192,1699,805,2852,59,5415,23607
State Representative District 082,5188,7268,6745,142,19343,669,603,1580,40,2892,22235
State Representative District 083,6897,7528,7406,171,22002,790,542,1310,38,2680,24682
State Representative District 084,5194,7591,7608,162,20555,541,536,1611,30,2718,23273
State Representative District 085,9307,4597,6852,185,20941,1133,621,1441,48,3243,24184
State Representative District 086,10326,2933,5803,144,19206,1859,623,1578,45,4105,23311
State Representative District 087,5514,7455,4951,146,18066,1095,892,1951,54,3992,22058
State Representative District 088,3707,9357,5109,152,18325,675,830,1628,28,3161,21486
State Representative District 089,10450,2100,5435,184,18169,2825,939,2569,103,6436,24605
State Representative District 090,12188,2531,5180,135,20034,2999,1078,2389,94,6560,26594
State Representative District 091,6375,8187,7411,146,22119,608,560,1372,41,2581,24700
State Representative District 092,5235,7562,5766,148,18711,631,676,1464,48,2819,21530
State Representative District 093,6099,7984,7671,152,21906,961,1111,2089,51,4212,26118
State Representative District 094,6149,7018,7163,145,20475,1169,968,2243,67,4447,24922
State Representative District 095,4643,8534,6341,123,19641,790,746,1945,31,3512,23153
State Representative District 096,5139,6059,5724,154,17076,1200,819,2225,64,4308,21384
State Representative District 097,7008,3699,5750,179,16636,2304,894,3194,81,6473,23109
State Representative District 098,6341,4265,6279,199,17084,1979,837,3179,91,6086,23170
State Representative District 099,7138,5429,5651,173,18391,1507,745,2088,51,4391,22782
State Representative District 100,6559,5412,5667,136,17774,1177,570,2136,51,3934,21708
Totals,"602,018","693,890","591,514","15,424","1,902,846","99,993","72,462","166,193","4,823","343,471","2,246,317"
