State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 031,"7,571","4,750",122,"5,668",33,"18,144",286,169,5,322,2,784,"18,928"
State Representative District 032,"7,808","2,602",106,"4,680",37,"15,233",496,115,12,350,4,977,"16,210"
State Representative District 033,"8,057","3,174",100,"5,186",36,"16,553",535,189,9,413,2,"1,148","17,701"
State Representative District 034,"8,639","3,611",125,"5,425",46,"17,846",815,250,12,642,2,"1,721","19,567"
State Representative District 035,"7,439","2,147",95,"3,994",48,"13,723",624,161,8,495,3,"1,291","15,014"
State Representative District 036,"9,452","4,764",158,"5,996",55,"20,425",441,215,6,367,1,"1,030","21,455"
State Representative District 037,"6,916","10,689",225,"8,959",37,"26,826",250,395,14,417,1,"1,077","27,903"
State Representative District 038,"6,654","7,390",157,"7,120",31,"21,352",275,287,16,369,1,948,"22,300"
State Representative District 039,"6,615","9,760",169,"8,398",29,"24,971",389,561,17,603,4,"1,574","26,545"
State Representative District 040,"6,853","7,441",157,"6,145",25,"20,621",328,290,7,379,2,"1,006","21,627"
State Representative District 041,"11,102","4,534",152,"5,004",48,"20,840",831,301,13,683,11,"1,839","22,679"
State Representative District 042,"7,094","7,191",184,"6,459",37,"20,965",398,365,6,454,0,"1,223","22,188"
State Representative District 043,"7,243","7,243",104,"5,950",40,"20,580",432,335,6,459,2,"1,234","21,814"
State Representative District 044,"6,420","10,094",173,"11,152",26,"27,865",435,639,5,939,3,"2,021","29,886"
State Representative District 045,"7,264","5,156",220,"7,702",66,"20,408",798,503,26,"1,184",8,"2,519","22,927"
State Representative District 046,"6,799","5,611",195,"7,795",61,"20,461","1,097",781,35,"1,608",14,"3,535","23,996"
State Representative District 047,"5,641","6,952",88,"7,837",18,"20,536",260,280,6,627,1,"1,174","21,710"
State Representative District 048,"5,215","7,631",78,"7,611",30,"20,565",210,244,5,465,1,925,"21,490"
State Representative District 049,"4,663","7,610",142,"8,017",37,"20,469",231,271,9,429,0,940,"21,409"
State Representative District 050,"3,774","8,974",59,"7,246",13,"20,066",143,258,3,429,3,836,"20,902"
State Representative District 051,"4,937","6,517",27,"8,219",8,"19,708",254,211,3,565,0,"1,033","20,741"
State Representative District 052,"5,669","5,462",44,"8,698",19,"19,892",320,215,7,618,1,"1,161","21,053"
State Representative District 053,"6,400","4,643",41,"8,687",15,"19,786",319,181,2,616,3,"1,121","20,907"
State Representative District 054,"3,890","8,563",45,"7,428",11,"19,937",180,236,0,417,1,834,"20,771"
State Representative District 055,"5,506","6,579",48,"6,993",25,"19,151",360,183,4,556,4,"1,107","20,258"
State Representative District 056,"4,768","7,247",53,"7,148",11,"19,227",292,253,2,567,1,"1,115","20,342"
State Representative District 057,"7,711","6,634",81,"8,365",14,"22,805",166,160,0,307,1,634,"23,439"
State Representative District 058,"6,651","5,259",38,"9,147",13,"21,108",259,174,2,535,1,971,"22,079"
State Representative District 059,"6,067","5,499",126,"7,796",32,"19,520",552,356,19,963,5,"1,895","21,415"
State Representative District 060,"6,358","7,249",90,"7,767",38,"21,502",401,393,9,602,4,"1,409","22,911"
State Representative District 061,"6,934","3,995",80,"6,454",43,"17,506",500,202,12,492,5,"1,211","18,717"
State Representative District 062,"8,294","2,525",101,"5,907",47,"16,874",604,145,4,515,2,"1,270","18,144"
State Representative District 063,"4,886","6,696",68,"9,148",15,"20,813",244,221,6,559,1,"1,031","21,844"
State Representative District 064,"5,174","4,745",50,"8,456",13,"18,438",187,101,2,490,2,782,"19,220"
State Representative District 065,"8,666","4,080",156,"5,994",70,"18,966",593,212,12,587,3,"1,407","20,373"
State Representative District 066,"7,192","5,727",149,"7,015",53,"20,136",395,230,11,478,5,"1,119","21,255"
State Representative District 067,"6,206","7,358",140,"8,180",34,"21,918",305,326,6,530,1,"1,168","23,086"
State Representative District 068,"6,765","6,330",169,"8,221",45,"21,530",321,244,11,502,5,"1,083","22,613"
State Representative District 069,"7,352","4,200",165,"7,568",58,"19,343",500,182,12,558,4,"1,256","20,599"
State Representative District 070,"7,979","4,818",180,"7,412",40,"20,429",459,207,8,525,5,"1,204","21,633"
State Representative District 071,"5,379","4,913",48,"6,330",21,"16,691",302,198,4,510,0,"1,014","17,705"
State Representative District 072,"5,007","6,504",58,"8,328",15,"19,912",233,174,2,488,0,897,"20,809"
State Representative District 073,"6,232","6,305",86,"7,928",22,"20,573",237,178,7,397,5,824,"21,397"
State Representative District 074,"9,106","3,964",126,"5,983",45,"19,224","1,149",440,21,929,10,"2,549","21,773"
State Representative District 075,"4,606","6,867",72,"8,767",18,"20,330",199,213,4,502,0,918,"21,248"
State Representative District 076,"5,841","6,667",77,"8,460",16,"21,061",763,229,8,804,4,"1,808","22,869"
State Representative District 077,"8,131","5,907",146,"8,389",34,"22,607",675,487,9,858,3,"2,032","24,639"
State Representative District 078,"4,520","7,794",77,"6,932",27,"19,350",242,250,4,500,1,997,"20,347"
State Representative District 079,"3,336","10,112",83,"6,183",16,"19,730",350,459,6,644,0,"1,459","21,189"
State Representative District 080,"5,188","7,089",56,"6,693",16,"19,042",333,258,4,629,1,"1,225","20,267"
State Representative District 081,"6,934","4,422",49,"5,689",33,"17,127",487,233,1,672,0,"1,393","18,520"
State Representative District 082,"6,237","6,557",68,"5,824",58,"18,744",380,242,11,557,10,"1,200","19,944"
State Representative District 083,"7,695","3,515",75,"6,689",21,"17,995",523,244,9,830,1,"1,607","19,602"
State Representative District 084,"4,249","7,131",65,"7,168",14,"18,627",329,315,4,724,2,"1,374","20,001"
State Representative District 085,"12,316","3,909",183,"7,165",69,"23,642","2,122","1,065",42,"2,680",20,"5,929","29,571"
State Representative District 086,"9,914","3,107",154,"6,312",67,"19,554","1,870",736,28,"2,017",17,"4,668","24,222"
State Representative District 087,"8,080","4,282",86,"6,559",37,"19,044",651,263,6,740,4,"1,664","20,708"
State Representative District 088,"5,447","6,375",57,"7,351",16,"19,246",237,229,3,488,1,958,"20,204"
State Representative District 089,"7,041","4,568",100,"8,567",33,"20,309",592,289,7,753,4,"1,645","21,954"
State Representative District 090,"7,328","2,832",129,"7,613",46,"17,948",962,297,21,"1,127",4,"2,411","20,359"
State Representative District 091,"5,695","5,911",60,"7,393",33,"19,092",440,317,4,743,0,"1,504","20,596"
State Representative District 092,"5,779","6,051",106,"8,834",33,"20,803",397,304,4,684,4,"1,393","22,196"
State Representative District 093,"6,998","6,260",121,"8,361",38,"21,778",612,447,13,958,6,"2,036","23,814"
State Representative District 094,"6,033","8,882",131,"9,770",34,"24,850",510,610,17,913,1,"2,051","26,901"
State Representative District 095,"6,072","6,420",101,"8,315",23,"20,931",259,186,5,405,2,857,"21,788"
State Representative District 096,"4,156","6,434",42,"8,281",12,"18,925",165,141,4,438,2,750,"19,675"
State Representative District 097,"5,451","6,814",80,"9,490",22,"21,857",246,262,5,515,0,"1,028","22,885"
State Representative District 098,"6,284","4,081",43,"8,155",28,"18,591",450,166,5,676,3,"1,300","19,891"
State Representative District 099,"8,889","5,231",99,"7,005",32,"21,256",583,308,9,610,4,"1,514","22,770"
State Representative District 100,"7,956","4,044",103,"6,344",43,"18,490",674,311,10,767,8,"1,770","20,260"
Totals,"604,493","653,032","9,606","721,340","2,944","1,991,415","42,390","30,420",777,"63,069",281,"136,937","2,128,352"
