State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 058,4035,6981,6393,79,17488,652,771,1814,30,3267,20755
State Representative District 059,5278,5758,6056,133,17225,967,752,2219,45,3983,21208
State Representative District 060,4034,8692,6099,123,18948,714,942,1795,53,3504,22452
State Representative District 061,5680,4490,4412,130,14712,1490,628,1738,60,3916,18628
State Representative District 062,5570,2630,3577,126,11903,1832,500,1996,59,4387,16290
State Representative District 063,5072,7190,6810,85,19157,768,551,1557,25,2901,22058
State Representative District 064,3770,9254,4970,101,18095,717,1131,1779,44,3671,21766
State Representative District 065,5941,8347,5847,121,20256,703,786,1528,26,3043,23299
State Representative District 066,4281,7944,6288,89,18602,560,756,1722,30,3068,21670
State Representative District 067,4145,7805,6842,109,18901,520,725,1692,24,2961,21862
State Representative District 068,3928,6886,5901,98,16813,685,681,1567,29,2962,19775
State Representative District 069,4882,5594,5886,115,16477,1046,807,2705,59,4617,21094
State Representative District 070,4494,7822,6599,120,19035,607,760,1819,35,3221,22256
State Representative District 071,6452,4626,4404,204,15686,1527,846,2158,86,4617,20303
State Representative District 072,6896,5879,4713,152,17640,1103,816,1814,77,3810,21450
State Representative District 073,6231,6477,6738,183,19629,856,827,1683,34,3400,23029
State Representative District 074,6472,4890,5780,187,17329,1234,745,1878,69,3926,21255
State Representative District 075,6133,5539,5698,166,17536,1001,667,1612,52,3332,20868
State Representative District 076,5071,7487,6308,167,19033,784,805,1605,45,3239,22272
State Representative District 077,5624,3870,5224,174,14892,1312,647,2094,94,4147,19039
State Representative District 078,7168,3464,4646,215,15493,1723,657,1988,84,4452,19945
State Representative District 079,6712,4312,5545,174,16743,1154,598,1875,63,3690,20433
State Representative District 080,6445,6128,6024,185,18782,996,758,1768,69,3591,22373
State Representative District 081,5513,4991,5635,163,16302,1380,802,2471,59,4712,21014
State Representative District 082,4387,7398,6284,129,18198,685,714,1682,39,3120,21318
State Representative District 083,6024,7622,7044,161,20851,824,728,1556,43,3151,24002
State Representative District 084,4286,7964,6752,126,19128,554,713,1755,52,3074,22202
State Representative District 085,8510,4617,6910,173,20210,1190,586,1811,53,3640,23850
State Representative District 086,8873,2944,5931,135,17883,2105,595,2145,62,4907,22790
State Representative District 087,4379,7162,4223,124,15888,858,921,1766,62,3607,19495
State Representative District 088,2850,8996,4323,127,16296,576,1145,1497,58,3276,19572
State Representative District 089,8620,2100,5164,170,16054,2729,707,2635,80,6151,22205
State Representative District 090,10793,2713,5683,161,19350,2405,648,1984,56,5093,24443
State Representative District 091,5710,8159,7077,162,21108,722,819,1794,30,3365,24473
State Representative District 092,4532,7206,5012,119,16869,689,890,1659,47,3285,20154
State Representative District 093,5273,8049,7290,151,20763,961,1001,2004,45,4011,24774
State Representative District 094,5231,6980,6655,158,19024,1032,850,2009,51,3942,22966
State Representative District 095,3709,8320,5624,128,17781,656,1009,1795,42,3502,21283
State Representative District 096,4080,5828,5273,153,15334,1015,895,2009,69,3988,19322
State Representative District 097,5775,3575,4980,157,14487,1543,701,2677,85,5006,19493
State Representative District 098,4978,4144,5359,169,14650,1454,801,2659,81,4995,19645
State Representative District 099,5601,5278,5053,173,16105,1213,825,2261,56,4355,20460
State Representative District 100,5162,5689,4990,107,15948,988,807,1993,52,3840,19788
Totals,"500,069","688,244","537,262","14,315","1,739,890","99,182","88,320","180,245","5,284","373,031","2,112,921"
