State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 087,4299,6029,63,2894,23,13308,1969,2021,74,3694,37,7795,21103
State Representative District 088,2788,7572,73,3068,9,13510,1448,2441,85,3502,13,7489,20999
State Representative District 089,7714,1370,53,3037,40,12214,4420,1215,111,4029,40,9815,22029
State Representative District 090,9839,1824,63,3315,29,15070,3932,1161,64,3133,28,8318,23388
State Representative District 091,5293,6972,87,5245,16,17613,1544,1640,67,3566,19,6836,24449
State Representative District 092,4218,6292,67,3657,16,14250,1513,1808,84,3462,17,6884,21134
State Representative District 093,4839,6726,80,5407,14,17066,1934,2054,83,4008,17,8096,25162
State Representative District 094,4855,5855,68,4994,18,15790,2127,1799,93,4079,29,8127,23917
State Representative District 095,3397,7048,63,3901,6,14415,1886,2103,72,4214,14,8289,22704
State Representative District 096,3496,4807,58,3224,20,11605,2660,1944,92,4546,47,9289,20894
State Representative District 097,4891,2865,74,3231,22,11083,3771,1500,122,5205,30,10628,21711
State Representative District 098,4272,3256,78,3561,19,11186,3544,1627,118,5429,50,10768,21954
State Representative District 099,5225,4283,83,3302,15,12908,3111,1797,91,4365,34,9398,22306
State Representative District 100,4680,4107,59,3241,7,12094,2737,1782,89,4338,27,8973,21067
Totals,"461,184","567,110","7,543","382,820","1,544","1,420,201","214,499","182,672","8,004","359,713","2,623","767,511","2,187,712"
