State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 091,"5,704","5,797",75,"7,275",34,"18,885",509,374,8,864,0,"1,755","20,640"
State Representative District 092,"5,765","5,942",113,"8,666",32,"20,518",536,400,7,860,7,"1,810","22,328"
State Representative District 093,"7,041","6,021",138,"8,122",31,"21,353",767,584,28,"1,211",6,"2,596","23,949"
State Representative District 094,"6,248","8,668",130,"9,671",27,"24,744",621,786,20,"1,116",3,"2,546","27,290"
State Representative District 095,"6,320","6,422",123,"8,199",23,"21,087",300,226,6,480,2,"1,014","22,101"
State Representative District 096,"4,190","6,552",56,"8,003",14,"18,815",189,186,4,520,2,901,"19,716"
State Representative District 097,"5,486","6,879",94,"9,343",19,"21,821",291,345,3,636,1,"1,276","23,097"
State Representative District 098,"6,171","4,114",58,"8,030",20,"18,393",521,209,7,833,8,"1,578","19,971"
State Representative District 099,"9,257","4,967",118,"6,674",30,"21,046",672,386,14,720,7,"1,799","22,845"
State Representative District 100,"7,996","3,932",127,"6,273",37,"18,365",777,360,16,849,11,"2,013","20,378"
Totals,"618,473","643,076","11,259","699,401","2,649","1,974,858","50,000","37,901","1,136","74,363",391,"163,791","2,138,649"
